episode,cpu_time,seed,total_reward,timesteps,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
63,2.109375,42,12.0,52,1.5,6,23,7,14,1.5,6,13,6,11,1.5,13,22,7,12,1.5,0,3,1,5,1.5,13,15,12,14,1.5,6,27,1,24,1.5,18,15,0,27,1.5,17,15,10,23
64,2.3125,42,12.0,60,1.5,6,25,11,14,1.5,5,29,6,4,1.5,12,29,0,2,1.5,19,20,1,2,1.5,7,0,6,16,1.5,0,17,13,15,1.5,15,22,19,12,1.5,19,28,15,0
65,3.796875,42,-0.5,100,0.5,1,7,1,15,-0.5,13,22,17,29,0.5,6,23,16,22,-0.5,12,15,17,28,-0.5,8,14,19,20,0.5,1,17,19,11,0.5,7,4,10,1,-1.0,15,1,19,27
66,4.46875,42,1.5,100,0.5,18,0,7,7,-0.5,6,17,7,5,-1.0,6,3,19,11,0.5,19,27,0,18,0.5,7,13,0,9,0.5,11,28,17,28,0.5,7,0,6,27,0.5,1,2,15,0
67,2.765625,42,12.0,59,1.5,19,16,10,20,1.5,0,10,14,0,1.5,11,0,0,3,1.5,1,4,1,23,1.5,1,25,7,10,1.5,5,1,1,14,1.5,19,8,19,28,1.5,1,11,4,0
68,3.578125,42,12.0,77,1.5,18,14,10,26,1.5,11,14,0,13,1.5,10,1,14,1,1.5,0,19,11,22,1.5,17,29,16,14,1.5,2,1,6,21,1.5,18,0,15,14,1.5,1,25,12,14
69,4.609375,42,1.5,100,-0.5,19,14,6,12,0.5,18,0,7,13,0.5,6,3,6,26,0.5,6,11,7,8,0.5,19,2,12,29,-1.0,14,28,8,15,0.5,6,5,18,14,0.5,9,1,15,22
70,1.984375,42,12.0,41,1.5,6,15,6,19,1.5,6,5,19,29,1.5,10,19,19,11,1.5,19,9,7,12,1.5,0,27,0,24,1.5,5,0,8,15,1.5,18,1,0,5,1.5,10,20,8,0
71,2.1875,42,12.0,46,1.5,6,0,6,24,1.5,1,13,5,1,1.5,1,29,1,2,1.5,11,0,0,5,1.5,0,1,13,0,1.5,6,17,10,25,1.5,6,5,7,0,1.5,1,10,19,13
72,4.546875,42,1.0,100,0.5,1,8,19,2,0.5,13,14,7,7,-0.5,8,14,19,26,0.5,10,23,11,1,0.5,6,23,16,22,0.5,10,15,13,28,-0.5,3,0,10,28,-0.5,0,1,19,25
73,2.15625,42,12.0,44,1.5,3,29,7,14,1.5,19,21,14,14,1.5,10,28,16,29,1.5,15,14,16,0,1.5,7,15,0,16,1.5,11,28,7,3,1.5,14,0,0,26,1.5,19,7,18,29
74,1.953125,42,12.0,40,1.5,6,23,14,29,1.5,19,23,11,1,1.5,0,24,6,7,1.5,6,28,19,26,1.5,19,21,17,14,1.5,11,22,1,5,1.5,11,28,14,15,1.5,10,0,4,0
75,2.953125,42,12.0,63,1.5,15,29,19,24,1.5,19,21,1,25,1.5,7,10,6,22,1.5,0,1,19,1,1.5,0,9,7,4,1.5,0,28,19,26,1.5,7,14,6,2,1.5,4,29,18,15
76,2.78125,42,12.0,59,1.5,10,1,0,8,1.5,9,1,0,12,1.5,16,22,6,13,1.5,0,16,2,0,1.5,0,19,17,14,1.5,16,14,19,12,1.5,1,20,1,24,1.5,11,22,6,29
77,4.546875,42,0.5,100,-0.5,12,15,6,18,-1.0,15,14,16,22,-0.5,13,28,6,15,0.5,19,19,11,29,0.5,0,25,18,29,0.5,0,11,15,28,0.5,19,14,14,22,0.5,6,12,0,1
78,2.765625,42,12.0,73,1.5,18,15,0,6,1.5,6,29,15,1,1.5,0,1,6,19,1.5,0,11,19,18,1.5,0,23,12,22,1.5,19,8,7,15,1.5,10,28,8,15,1.5,1,23,2,0
79,3.90625,42,1.5,100,-1.0,1,24,13,22,0.5,6,23,10,21,0.5,18,14,7,0,0.5,13,14,8,14,0.5,12,14,19,7,0.5,19,6,6,7,-0.5,1,28,4,29,0.5,10,25,15,29
80,2.84375,42,12.0,61,1.5,18,29,6,25,1.5,1,12,16,28,1.5,12,22,9,0,1.5,6,18,0,19,1.5,9,15,7,1,1.5,0,26,12,15,1.5,19,4,13,29,1.5,2,29,6,6
81,3.03125,42,12.0,64,1.5,9,0,10,22,1.5,1,1,0,13,1.5,0,27,6,17,1.5,19,29,10,17,1.5,15,28,13,14,1.5,11,14,1,12,1.5,6,21,14,15,1.5,4,1,18,14
82,2.4375,42,12.0,61,1.5,0,23,5,0,1.5,6,11,7,1,1.5,0,18,19,21,1.5,7,11,0,15,1.5,6,6,10,1,1.5,19,10,6,8,1.5,1,0,0,4,1.5,1,20,1,16
83,1.65625,42,12.0,45,1.5,19,4,6,7,1.5,19,20,19,6,1.5,19,21,6,16,1.5,11,1,15,0,1.5,7,0,19,25,1.5,19,2,7,13,1.5,6,24,3,29,1.5,6,6,9,1
84,4.203125,42,-0.5,100,0.5,5,1,0,5,0.5,8,15,4,29,0.5,19,26,18,14,-1.0,1,23,14,22,-1.0,19,5,10,27,0.5,10,14,1,19,-1.0,19,9,11,28,0.5,6,2,10,21
85,1.921875,42,12.0,40,1.5,6,7,10,19,1.5,19,1,16,0,1.5,0,0,11,1,1.5,1,25,3,1,1.5,1,10,1,27,1.5,4,29,0,13,1.5,1,5,16,14,1.5,6,1,10,14
86,3.375,42,12.0,72,1.5,10,20,7,5,1.5,12,15,1,12,1.5,1,28,1,9,1.5,6,28,17,0,1.5,19,18,2,1,1.5,18,28,12,14,1.5,19,28,16,1,1.5,7,7,19,7
87,4.5,42,1.0,100,0.5,19,19,14,22,-0.5,15,29,4,1,0.5,7,15,0,9,0.5,10,14,19,15,-0.5,6,25,0,8,0.5,6,1,6,27,-0.5,11,28,19,20,0.5,0,23,1,1
88,4.5625,42,0.5,100,0.5,7,2,11,1,0.5,2,0,6,16,0.5,8,0,15,29,-0.5,0,11,16,1,-0.5,0,15,18,14,0.5,1,26,5,29,-1.0,19,26,0,25,0.5,10,17,0,10
89,3.203125,42,12.0,84,1.5,19,24,4,0,1.5,5,0,0,25,1.5,7,10,6,22,1.5,0,13,6,18,1.5,7,0,1,4,1.5,19,6,1,22,1.5,1,17,0,0,1.5,13,1,6,23
90,2.296875,42,12.0,58,1.5,2,29,7,4,1.5,7,10,17,29,1.5,0,6,8,15,1.5,18,28,6,4,1.5,0,25,10,0,1.5,1,7,6,21,1.5,7,14,15,29,1.5,0,0,6,26
91,2.96875,42,12.0,65,1.5,19,10,19,14,1.5,7,7,7,8,1.5,18,28,0,11,1.5,1,29,12,28,1.5,10,22,6,3,1.5,1,22,6,4,1.5,1,25,1,26,1.5,6,1,14,28
92,4.078125,42,12.0,88,1.5,1,4,0,2,1.5,10,24,19,14,1.5,0,10,17,0,1.5,7,11,6,1,1.5,13,22,19,11,1.5,7,3,1,1,1.5,1,13,0,20,1.5,18,28,0,4
93,3.484375,42,12.0,74,1.5,7,6,7,11,1.5,1,25,0,1,1.5,0,20,3,1,1.5,0,7,10,16,1.5,13,15,12,29,1.5,1,5,1,22,1.5,10,28,18,1,1.5,0,25,10,21
94,3.640625,42,2.0,100,0.5,19,6,19,22,0.5,15,28,10,24,-0.5,19,28,19,9,0.5,18,14,4,0,-0.5,7,2,19,11,0.5,9,0,1,28,0.5,1,7,10,1,0.5,10,27,1,26
95,2.125,42,12.0,53,1.5,1,4,8,0,1.5,6,0,6,22,1.5,9,15,11,1,1.5,19,26,16,22,1.5,14,15,4,1,1.5,0,18,0,25,1.5,17,0,1,19,1.5,6,10,10,23
96,1.5625,42,12.0,33,1.5,14,15,18,0,1.5,6,7,13,22,1.5,6,15,5,0,1.5,6,0,0,4,1.5,18,28,11,29,1.5,17,14,13,14,1.5,0,6,14,1,1.5,0,17,1,7
97,2.828125,42,12.0,60,1.5,1,3,1,9,1.5,10,21,16,14,1.5,1,24,7,14,1.5,14,22,15,28,1.5,0,28,13,0,1.5,17,15,1,2,1.5,19,4,0,13,1.5,6,0,12,14
98,4.546875,42,3.0,100,0.5,0,3,0,20,0.5,10,0,19,2,0.5,10,18,6,23,0.5,0,27,10,19,0.5,0,0,10,17,0.5,19,28,6,16,-0.5,19,12,19,6,0.5,2,0,0,29
99,2.9375,42,12.0,63,1.5,14,0,19,24,1.5,0,11,17,28,1.5,7,0,1,13,1.5,9,0,10,22,1.5,1,11,6,6,1.5,1,7,1,0,1.5,2,29,12,0,1.5,10,28,4,1
100,3.375,42,12.0,72,1.5,18,1,8,14,1.5,19,1,6,18,1.5,17,29,15,0,1.5,0,4,1,28,1.5,1,5,1,12,1.5,0,11,10,27,1.5,1,22,10,0,1.5,10,22,10,25
