episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
67,0.96875,42,6.0,40,1.5,6,18,7,13,1.5,16,22,19,26,1.5,12,22,6,0,1.5,8,0,17,15
68,1.640625,42,6.0,69,1.5,18,1,1,11,1.5,16,14,7,10,1.5,19,1,0,9,1.5,14,15,9,0
69,1.484375,42,6.0,68,1.5,1,27,6,23,1.5,1,22,19,18,1.5,1,24,10,16,1.5,19,4,11,15
70,0.828125,42,6.0,41,1.5,6,13,0,23,1.5,0,1,19,5,1.5,0,11,8,1,1.5,3,1,19,13
71,1.375,42,6.0,65,1.5,0,11,0,22,1.5,0,24,12,29,1.5,17,22,19,12,1.5,0,21,6,20
72,1.5625,42,6.0,67,1.5,19,7,10,18,1.5,16,22,6,1,1.5,18,0,19,25,1.5,17,28,1,24
73,0.96875,42,6.0,45,1.5,10,27,9,0,1.5,11,15,17,15,1.5,10,29,1,0,1.5,15,29,14,22
74,1.03125,42,6.0,47,1.5,18,15,6,16,1.5,19,22,16,0,1.5,7,15,7,3,1.5,6,1,17,22
75,1.234375,42,6.0,54,1.5,2,1,7,7,1.5,1,27,6,27,1.5,11,14,1,2,1.5,12,29,0,13
76,0.734375,42,6.0,41,1.5,1,23,6,11,1.5,10,24,7,13,1.5,6,23,6,12,1.5,1,7,6,5
77,0.71875,42,6.0,42,1.5,6,14,4,1,1.5,6,27,1,23,1.5,6,2,12,29,1.5,14,15,1,11
78,0.65625,42,6.0,37,1.5,19,10,6,3,1.5,12,14,15,22,1.5,19,18,7,8,1.5,16,14,18,14
79,1.0,42,6.0,58,1.5,18,1,16,28,1.5,19,20,1,16,1.5,9,0,11,28,1.5,7,3,7,10
80,0.6875,42,6.0,37,1.5,11,0,14,15,1.5,15,15,1,10,1.5,8,15,3,29,1.5,10,0,0,16
81,1.296875,42,6.0,66,1.5,13,1,1,0,1.5,10,22,19,11,1.5,1,16,18,28,1.5,0,8,7,13
82,0.75,42,6.0,37,1.5,0,21,0,19,1.5,11,1,10,19,1.5,10,26,14,1,1.5,19,19,10,28
83,1.0625,42,6.0,46,1.5,1,1,6,21,1.5,14,0,16,22,1.5,19,15,1,8,1.5,8,1,19,20
84,1.375,42,6.0,66,1.5,19,29,0,20,1.5,16,0,19,17,1.5,6,29,19,14,1.5,10,21,16,15
85,0.3125,42,6.0,14,1.5,0,11,1,8,1.5,10,21,10,27,1.5,14,0,8,1,1.5,1,28,0,21
86,1.25,42,6.0,60,1.5,0,1,12,22,1.5,10,15,7,4,1.5,0,29,7,6,1.5,1,9,10,17
87,0.875,42,6.0,50,1.5,19,11,1,23,1.5,15,14,7,10,1.5,14,1,8,0,1.5,8,1,16,22
88,1.0625,42,6.0,60,1.5,18,0,14,0,1.5,19,14,0,26,1.5,1,1,16,0,1.5,10,23,0,27
89,0.5,42,6.0,29,1.5,14,1,1,17,1.5,11,29,15,28,1.5,7,9,19,12,1.5,0,20,6,23
90,0.609375,42,6.0,33,1.5,14,22,11,1,1.5,6,4,15,14,1.5,14,14,17,1,1.5,12,14,19,6
91,0.5,42,6.0,26,1.5,8,15,19,21,1.5,6,11,1,6,1.5,16,15,5,29,1.5,2,1,6,0
92,1.34375,42,6.0,65,1.5,10,1,0,29,1.5,19,15,6,15,1.5,0,19,14,15,1.5,1,3,6,28
93,1.96875,42,0.5,100,0.5,19,18,10,26,-1.0,10,0,15,29,0.5,1,10,6,10,0.5,14,14,19,15
94,1.265625,42,6.0,72,1.5,11,28,18,0,1.5,6,14,13,29,1.5,1,2,0,1,1.5,7,7,19,26
95,0.6875,42,6.0,40,1.5,2,29,0,28,1.5,0,27,11,1,1.5,6,25,19,2,1.5,19,18,18,1
96,1.21875,42,6.0,70,1.5,0,7,0,21,1.5,10,20,0,2,1.5,7,7,9,14,1.5,0,27,12,29
97,0.59375,42,6.0,34,1.5,6,26,6,0,1.5,17,15,7,3,1.5,14,0,19,22,1.5,7,2,4,1
98,0.828125,42,6.0,44,1.5,8,0,9,14,1.5,5,0,15,29,1.5,0,2,14,22,1.5,6,29,19,11
99,1.96875,42,0.5,100,0.5,0,10,15,29,0.5,19,29,3,29,-1.0,6,17,12,28,0.5,0,25,19,2
100,0.59375,42,6.0,33,1.5,12,1,11,22,1.5,0,24,1,1,1.5,0,9,0,5,1.5,17,28,19,29
