episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
27,11.375,42,3.5,100,0.5,6,25,13,22,0.5,1,7,0,9,0.5,12,29,19,11,0.5,15,0,10,1,-1.0,19,12,17,29,0.5,13,15,19,20,0.5,6,16,1,15,0.5,1,17,18,0,0.5,7,4,0,18,0.5,1,2,19,27,-0.5,0,2,7,13,-0.5,15,22,17,28,-0.5,6,4,11,28,-0.5,15,1,6,17,0.5,8,14,6,3,0.5,11,14,16,22,0.5,12,15,7,0,0.5,5,29,6,23
28,10.625,42,3.0,100,0.5,6,27,14,0,0.5,10,20,6,11,0.5,19,11,2,1,-0.5,1,11,18,14,-0.5,19,8,10,1,0.5,5,1,18,0,-0.5,1,25,11,14,-0.5,1,14,15,14,0.5,19,28,14,1,0.5,1,4,17,29,-0.5,11,0,12,14,0.5,7,5,0,19,0.5,0,10,6,21,0.5,4,0,10,26,0.5,7,10,0,13,0.5,19,16,11,22,-0.5,1,23,16,14,0.5,7,7,0,3
29,10.421875,42,1.5,100,-1.0,14,28,0,27,0.5,10,20,1,29,0.5,6,5,10,19,0.5,6,3,0,24,-0.5,8,15,6,19,-0.5,18,0,8,0,0.5,7,8,0,5,0.5,7,13,1,10,0.5,5,0,1,13,-0.5,19,14,7,12,-0.5,18,14,11,0,0.5,19,2,6,15,0.5,12,29,19,11,0.5,6,26,0,1,0.5,19,9,6,0,-0.5,15,22,19,29,-0.5,6,12,6,17,0.5,9,1,18,1
30,11.046875,42,4.5,100,-1.0,0,5,19,25,0.5,13,28,0,26,0.5,13,0,19,2,0.5,5,1,15,14,0.5,10,23,19,7,0.5,6,24,19,26,0.5,1,2,11,28,0.5,1,8,16,0,-0.5,11,1,0,16,0.5,7,0,7,7,0.5,6,23,3,29,-0.5,19,13,10,28,0.5,0,1,14,0,0.5,13,14,7,3,0.5,8,14,18,29,0.5,10,15,7,15,-0.5,3,0,19,21,0.5,10,25,16,22
31,11.40625,42,4.5,100,0.5,7,14,6,7,0.5,11,1,1,20,0.5,6,28,4,29,0.5,19,21,7,10,0.5,6,23,18,15,0.5,10,0,15,29,0.5,11,28,19,1,0.5,4,0,6,22,0.5,14,29,0,19,0.5,11,22,0,9,0.5,19,26,19,24,-1.0,16,29,0,28,-0.5,0,24,6,2,0.5,17,14,0,16,-0.5,14,15,16,14,-0.5,19,23,7,4,0.5,1,5,1,25,0.5,14,14,0,1
32,10.609375,42,-3.0,100,-1.0,10,1,13,28,0.5,15,14,0,6,0.5,2,0,0,1,0.5,17,14,6,18,0.5,0,8,19,8,-0.5,6,29,14,22,-1.0,1,24,6,15,0.5,6,12,19,18,0.5,12,15,8,15,-1.0,19,12,18,29,-0.5,19,19,10,28,-1.0,16,22,15,28,0.5,6,13,0,23,-1.0,0,25,7,15,-0.5,19,14,12,22,0.5,0,12,1,23,0.5,0,11,18,15,-1.0,9,1,11,29
33,10.421875,42,4.0,100,0.5,15,1,6,18,-0.5,7,0,11,14,0.5,19,6,9,15,0.5,1,28,1,12,0.5,6,23,0,19,0.5,12,14,18,29,0.5,1,24,12,22,0.5,19,7,6,25,-0.5,10,21,19,29,0.5,10,25,19,4,-0.5,6,7,7,1,0.5,13,14,2,29,0.5,8,14,6,6,-0.5,4,29,16,28,0.5,13,22,9,0,-0.5,18,14,12,15,0.5,15,29,13,29,0.5,6,19,0,26
34,11.40625,42,0.0,100,0.5,4,1,6,6,-1.0,1,20,19,4,0.5,9,0,6,11,0.5,10,17,6,8,-0.5,19,29,10,1,-0.5,0,27,0,15,0.5,1,12,1,16,0.5,0,13,11,1,0.5,19,10,6,24,-1.0,1,1,0,18,-0.5,14,15,7,1,0.5,6,21,0,23,0.5,13,14,5,0,0.5,6,17,19,2,-0.5,7,11,7,0,-0.5,18,14,0,4,0.5,10,22,19,21,-0.5,15,28,1,0
35,11.375,42,1.0,100,-1.0,19,20,14,22,0.5,19,26,16,14,0.5,7,13,10,27,0.5,3,29,4,29,-1.0,19,6,1,25,-0.5,19,25,0,5,0.5,6,7,18,14,0.5,19,5,0,0,0.5,8,15,1,27,-1.0,9,1,11,28,0.5,10,14,1,5,0.5,15,0,10,21,0.5,1,23,1,10,0.5,19,9,3,1,0.5,5,1,0,13,0.5,6,16,6,1,-0.5,6,2,19,1,-1.0,19,21,1,19
36,10.515625,42,-1.0,100,-0.5,10,19,1,9,-0.5,1,12,0,11,0.5,6,28,0,23,-0.5,19,18,19,19,-0.5,10,20,7,15,0.5,7,7,11,28,0.5,19,28,15,29,-0.5,19,7,19,20,0.5,7,5,0,9,-0.5,18,28,6,25,-0.5,17,0,1,1,0.5,11,1,6,1,-0.5,1,28,6,27,0.5,2,1,14,22,0.5,16,1,4,1,-0.5,12,15,19,15,0.5,12,14,0,8,-0.5,16,0,10,14
