episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
22,10.25,42,2.5,100,0.5,14,22,10,28,0.5,0,9,15,28,-1.0,15,29,0,20,0.5,19,2,1,25,-1.0,0,24,16,29,0.5,6,17,18,28,0.5,12,28,7,1,0.5,0,5,0,3,0.5,17,28,18,14,-1.0,19,29,0,6,0.5,12,1,1,15,0.5,3,29,1,2,0.5,0,10,1,26,-1.0,9,14,12,22,0.5,19,11,11,22,0.5,1,1,19,9,0.5,0,25,19,6
23,10.40625,42,-2.0,100,0.5,11,29,19,22,-1.0,1,24,0,26,0.5,19,9,19,13,-1.0,10,24,7,0,-1.0,3,29,0,28,0.5,1,5,18,0,0.5,19,25,0,9,-1.0,1,26,9,1,0.5,19,21,1,16,0.5,0,11,13,1,0.5,18,1,7,13,0.5,16,22,7,2,-1.0,17,1,17,28,0.5,0,8,0,27,0.5,4,0,12,14,-1.0,0,13,14,28,-1.0,0,1,15,22
24,10.28125,42,5.5,100,0.5,11,0,7,14,0.5,0,22,0,21,0.5,0,19,0,16,0.5,0,12,7,3,0.5,13,22,15,22,0.5,1,5,0,9,0.5,1,14,6,22,0.5,19,25,6,14,0.5,2,29,6,12,0.5,17,0,1,20,0.5,8,1,1,12,0.5,0,3,1,9,0.5,14,15,19,3,-1.0,18,1,10,27,-1.0,9,15,10,26,0.5,14,29,10,21,0.5,7,0,0,1
25,10.203125,42,4.0,100,0.5,9,14,19,16,-1.0,5,0,19,18,0.5,16,0,1,6,0.5,1,3,0,29,0.5,6,23,3,0,-1.0,19,0,6,20,0.5,1,26,0,27,0.5,13,14,10,26,0.5,9,1,1,0,0.5,10,17,19,10,0.5,10,18,0,21,0.5,19,17,19,23,0.5,7,0,7,6,0.5,1,28,7,14,-1.0,7,3,6,29,0.5,11,22,6,25,0.5,11,1,13,0
26,10.390625,42,-4.5,100,-1.0,10,25,7,7,0.5,10,23,11,22,0.5,6,19,7,6,-1.0,17,29,10,15,-1.0,6,0,11,28,-0.5,6,22,0,21,-1.0,1,19,10,21,0.5,0,8,1,26,-1.0,10,20,9,15,-1.0,1,5,10,17,0.5,19,11,10,27,0.5,19,18,13,14,0.5,6,21,6,8,0.5,11,1,1,3,-1.0,16,0,6,23,0.5,4,29,16,1,-1.0,19,23,1,21
27,9.46875,42,25.5,92,1.5,9,15,14,14,1.5,10,1,0,26,1.5,1,15,8,1,1.5,19,21,17,28,1.5,19,3,0,12,1.5,10,29,1,26,1.5,7,15,6,15,1.5,19,11,18,29,1.5,14,15,0,9,1.5,8,14,6,0,1.5,0,29,0,16,1.5,16,29,7,11,1.5,6,10,8,0,1.5,6,26,2,1,1.5,6,6,7,13,1.5,18,1,17,29,1.5,8,15,16,22
28,10.265625,42,-6.5,100,0.5,0,12,6,23,0.5,19,7,19,20,-1.0,0,17,6,13,-1.0,14,14,0,27,-1.0,0,3,19,28,0.5,6,4,1,24,0.5,5,29,7,14,0.5,17,15,15,22,-1.0,14,28,7,12,-1.0,7,9,10,23,-1.0,6,27,7,0,-1.0,0,15,6,11,-1.0,1,9,12,14,-1.0,3,1,13,22,0.5,17,14,18,15,-1.0,13,15,6,25,0.5,10,15,1,5
29,10.421875,42,5.5,100,-1.0,15,22,6,23,0.5,1,17,7,0,0.5,12,29,17,28,0.5,11,14,17,29,0.5,15,1,18,0,0.5,15,0,19,20,0.5,6,4,16,22,0.5,7,4,6,3,0.5,12,15,7,13,0.5,6,16,10,1,0.5,8,14,6,17,0.5,0,2,11,28,0.5,19,12,1,15,0.5,1,2,19,11,-1.0,5,29,13,22,0.5,1,7,0,18,0.5,13,15,19,27
30,10.34375,42,-3.0,100,0.5,15,0,7,10,0.5,19,16,10,1,0.5,0,9,19,28,-1.0,5,1,17,29,-1.0,0,10,11,22,0.5,7,5,0,3,-1.0,1,11,18,0,-1.0,1,23,12,14,-0.5,19,8,11,14,-1.0,19,11,0,19,0.5,11,0,6,21,-1.0,1,25,18,14,0.5,1,4,2,1,-1.0,6,27,10,20,0.5,17,28,4,0,0.5,1,14,16,14,0.5,7,7,14,0
31,10.265625,42,4.0,100,-1.0,10,26,7,13,0.5,7,8,0,24,0.5,0,13,6,26,-1.0,6,5,6,15,0.5,8,15,0,5,0.5,14,28,10,20,-1.0,19,14,10,19,0.5,12,29,19,29,0.5,6,3,8,0,0.5,9,1,0,27,0.5,15,22,6,19,0.5,18,0,7,12,0.5,19,2,18,1,0.5,14,1,19,9,0.5,15,14,6,12,0.5,18,14,19,11,0.5,6,11,5,0
32,10.3125,42,2.5,100,0.5,6,17,6,23,0.5,7,0,7,7,0.5,1,10,3,0,-1.0,0,5,19,25,0.5,6,24,19,26,0.5,6,0,8,14,-1.0,10,25,16,22,-1.0,1,2,11,28,0.5,13,0,19,2,0.5,1,13,11,1,0.5,5,1,15,14,0.5,19,13,10,28,-1.0,1,29,13,28,0.5,0,1,1,8,0.5,11,0,10,15,0.5,10,23,19,7,0.5,6,5,13,14
33,10.4375,42,5.5,100,0.5,14,0,19,23,-1.0,16,29,0,28,0.5,3,29,0,24,-1.0,0,16,14,29,0.5,6,28,4,29,0.5,16,0,4,0,0.5,0,26,11,1,0.5,10,0,15,29,0.5,14,14,0,1,0.5,7,3,17,14,0.5,11,22,0,9,0.5,7,14,6,7,0.5,18,29,14,15,0.5,19,21,19,26,0.5,7,15,6,23,0.5,11,28,7,10,0.5,10,28,1,5
34,10.25,42,1.0,100,0.5,19,26,6,29,0.5,1,20,12,15,-1.0,18,15,17,14,0.5,0,16,0,11,0.5,10,1,15,14,0.5,19,24,0,12,0.5,16,14,6,12,0.5,16,22,11,29,-1.0,0,19,19,14,0.5,1,25,6,13,-1.0,9,1,13,28,0.5,11,22,0,25,0.5,6,22,19,19,0.5,7,4,1,24,-1.0,19,1,19,12,-1.0,2,0,15,28,0.5,6,2,0,8
35,10.328125,42,2.5,100,0.5,18,29,0,6,-1.0,6,29,8,14,-1.0,14,22,15,1,0.5,1,23,1,28,0.5,19,18,6,7,0.5,6,15,19,6,0.5,0,23,1,24,-1.0,2,0,19,7,0.5,18,15,18,14,0.5,0,11,10,25,0.5,7,15,15,29,-1.0,10,28,6,23,0.5,19,8,12,14,0.5,6,18,6,19,0.5,0,1,8,15,0.5,12,22,4,29,0.5,16,22,13,14
36,10.296875,42,2.5,100,0.5,10,21,9,0,0.5,12,15,14,15,-1.0,7,0,19,29,-1.0,18,29,0,27,0.5,6,6,10,22,0.5,2,29,15,28,-1.0,1,12,10,17,0.5,13,29,6,17,-1.0,0,19,13,14,0.5,9,15,6,21,0.5,7,1,0,13,0.5,12,22,18,14,0.5,19,4,1,1,0.5,6,18,11,14,0.5,13,22,16,28,0.5,6,25,7,11,0.5,0,26,4,1
