episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
55,1.96875,42,10.5,49,1.5,19,22,19,11,1.5,4,1,8,0,1.5,6,26,5,0,1.5,0,21,7,3,1.5,7,2,6,0,1.5,17,15,0,2,1.5,14,0,6,29
56,3.953125,42,2.0,100,0.5,0,10,12,1,-1.0,19,29,0,24,0.5,6,17,0,9,0.5,14,22,19,2,0.5,15,29,12,28,0.5,0,25,17,28,0.5,9,14,3,29
57,2.4375,42,10.5,58,1.5,0,20,7,1,1.5,10,28,1,25,1.5,11,22,1,26,1.5,19,29,12,22,1.5,0,5,19,6,1.5,1,1,0,6,1.5,12,1,18,28
58,2.203125,42,10.5,52,1.5,19,9,17,1,1.5,0,3,0,11,1.5,1,15,1,5,1.5,1,2,4,0,1.5,18,14,11,29,1.5,16,29,0,1,1.5,15,28,0,8
59,3.6875,42,2.0,100,0.5,18,1,15,22,0.5,3,29,0,27,0.5,1,24,19,13,0.5,10,24,1,26,-1.0,19,25,0,13,0.5,19,21,19,22,0.5,16,22,12,14
60,1.984375,42,10.5,59,1.5,7,2,9,15,1.5,0,9,14,28,1.5,7,0,9,1,1.5,18,0,1,16,1.5,13,1,0,26,1.5,17,28,7,13,1.5,17,1,0,28
61,1.65625,42,10.5,45,1.5,14,15,8,1,1.5,17,0,13,22,1.5,1,5,0,22,1.5,11,0,0,12,1.5,0,19,1,14,1.5,7,0,2,29,1.5,18,1,0,3
62,2.75,42,10.5,68,1.5,10,27,6,22,1.5,0,16,13,22,1.5,0,12,7,3,1.5,19,25,0,1,1.5,14,29,0,9,1.5,7,14,19,3,1.5,10,26,1,20
63,2.515625,42,10.5,68,1.5,19,25,19,0,1.5,6,14,11,1,1.5,1,12,1,28,1.5,1,9,10,21,1.5,6,12,7,3,1.5,15,22,16,0,1.5,0,21,9,14
64,3.421875,42,10.5,99,1.5,5,0,19,16,1.5,9,1,6,29,1.5,19,17,11,22,1.5,10,17,6,23,1.5,7,0,10,18,1.5,1,26,1,28,1.5,1,3,13,14
