episode,cpu_time,seed,total_reward,timesteps,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
28,9.0,42,6.0,100,0.5,19,3,11,1,0.5,6,22,7,0,0.5,1,20,1,28,0.5,1,12,5,0,0.5,15,22,9,1,0.5,7,3,19,0,0.5,0,9,16,0,0.5,13,22,10,17,0.5,1,9,1,3,0.5,10,27,10,21,0.5,6,12,1,26,0.5,0,21,19,17,0.5,0,16,19,25,-1.0,0,12,6,14,0.5,0,1,9,14
29,8.84375,42,1.5,100,-1.0,6,29,3,0,-1.0,1,3,10,26,0.5,11,22,19,18,0.5,19,10,11,1,0.5,6,20,6,19,0.5,19,16,0,21,0.5,1,28,1,0,0.5,1,6,5,0,-1.0,7,3,6,25,0.5,9,1,0,27,0.5,7,14,16,0,0.5,13,0,10,25,0.5,10,18,0,29,-1.0,6,23,7,6,0.5,13,14,19,23
30,9.109375,42,-3.0,100,-1.0,19,18,10,15,0.5,6,0,9,15,0.5,1,19,6,8,0.5,7,7,16,1,-1.0,6,23,1,26,-1.0,10,20,10,21,-1.0,17,29,10,17,-1.0,10,23,13,14,-1.0,19,11,11,22,0.5,1,5,1,21,0.5,0,8,11,28,-1.0,4,29,10,27,0.5,6,22,1,3,0.5,19,23,7,6,0.5,6,21,0,21
31,9.078125,42,4.5,100,0.5,8,14,16,22,0.5,7,15,8,0,0.5,10,29,2,1,0.5,0,29,0,26,0.5,19,3,0,9,0.5,6,10,1,26,0.5,8,15,8,1,0.5,19,21,6,0,0.5,16,29,17,28,0.5,1,15,7,13,0.5,14,15,6,15,0.5,10,1,7,11,-1.0,9,15,18,1,0.5,6,6,19,11,-1.0,6,26,14,14
32,9.125,42,4.5,100,-1.0,3,1,6,23,0.5,7,9,1,5,-1.0,0,17,18,15,0.5,14,28,7,14,0.5,0,15,0,27,0.5,10,15,6,13,0.5,17,14,13,15,0.5,6,4,13,22,0.5,1,9,1,24,0.5,18,29,6,27,0.5,14,14,10,23,0.5,5,29,12,14,0.5,0,16,0,3,0.5,0,12,19,7,0.5,17,29,17,15
33,6.828125,42,22.5,74,1.5,15,22,8,14,1.5,12,29,13,22,1.5,7,0,15,1,1.5,19,12,10,1,1.5,6,16,19,27,1.5,6,25,7,4,1.5,19,28,1,17,1.5,5,29,1,7,1.5,1,2,6,23,1.5,19,20,0,2,1.5,13,15,17,28,1.5,15,0,19,11,1.5,7,12,6,4,1.5,6,11,11,14,1.5,0,17,12,15
34,9.234375,42,1.5,100,-1.0,7,13,1,11,0.5,6,17,19,16,0.5,1,2,5,1,0.5,0,9,4,0,0.5,15,0,1,14,0.5,7,0,1,25,-1.0,11,28,1,4,0.5,18,0,19,8,0.5,6,3,0,10,0.5,16,22,7,5,-1.0,0,18,11,0,-1.0,17,28,1,23,0.5,17,29,7,7,0.5,1,15,6,27,0.5,19,27,19,11
35,9.21875,42,3.0,100,0.5,0,19,14,1,-1.0,17,29,9,1,0.5,0,3,0,13,0.5,11,22,7,8,0.5,10,1,6,3,0.5,2,1,6,11,0.5,14,0,10,26,-1.0,1,25,14,28,0.5,18,0,19,2,0.5,19,28,16,14,0.5,18,14,6,5,0.5,11,14,19,14,0.5,7,10,12,14,-1.0,1,14,6,21,0.5,10,20,15,14
36,9.375,42,0.0,100,0.5,6,26,19,11,-1.0,10,20,1,10,0.5,7,13,19,29,0.5,10,19,10,25,0.5,6,5,1,29,0.5,19,9,11,0,-1.0,6,12,6,19,-1.0,5,0,6,17,0.5,0,27,0,1,-1.0,12,29,0,24,0.5,18,1,6,0,0.5,6,15,1,13,-1.0,15,22,8,0,0.5,8,15,7,12,0.5,18,14,0,5
37,9.046875,42,4.5,100,0.5,10,23,19,26,-1.0,6,23,19,7,0.5,1,2,7,7,0.5,11,1,16,0,0.5,8,14,19,21,0.5,10,15,15,14,0.5,5,1,19,2,0.5,0,1,11,28,0.5,3,0,7,15,0.5,7,0,16,22,0.5,1,8,14,0,0.5,13,14,3,29,-1.0,13,0,19,25,0.5,19,13,13,28,0.5,6,24,10,28
38,10.53125,42,3.0,100,-1.0,16,29,11,1,0.5,10,0,0,28,0.5,14,14,14,29,0.5,0,24,19,1,0.5,19,23,7,10,0.5,6,28,6,7,0.5,7,14,14,15,0.5,11,22,0,1,0.5,19,21,4,29,0.5,0,16,4,0,0.5,11,28,0,9,0.5,6,23,15,29,-1.0,18,29,1,5,0.5,7,3,19,26,-1.0,0,26,17,14
39,9.75,42,1.5,100,0.5,6,22,0,12,0.5,11,22,0,11,0.5,1,25,0,8,0.5,16,22,15,14,0.5,9,1,12,15,0.5,0,16,6,13,-1.0,19,24,1,24,-1.0,16,14,19,19,0.5,0,19,6,12,0.5,7,4,6,29,0.5,1,20,0,25,-1.0,10,1,19,14,0.5,18,15,19,12,-1.0,19,26,2,0,0.5,6,2,17,14
40,9.0625,42,4.5,100,0.5,6,18,0,6,0.5,0,11,13,14,0.5,14,22,8,15,0.5,18,15,1,24,-1.0,10,28,1,28,-1.0,16,22,15,1,0.5,18,29,12,22,0.5,6,15,6,19,0.5,19,8,19,6,0.5,15,28,7,15,0.5,1,23,10,25,0.5,0,23,12,14,0.5,11,29,19,18,0.5,13,28,6,29,0.5,0,1,2,0
41,9.25,42,1.5,100,0.5,4,29,7,1,-1.0,7,0,16,28,0.5,19,7,6,6,-1.0,19,4,15,28,0.5,9,15,4,1,0.5,13,22,13,29,-1.0,15,29,12,15,0.5,10,21,6,25,0.5,6,18,9,0,0.5,8,14,12,22,-1.0,0,26,19,29,0.5,2,29,11,14,0.5,18,14,1,12,0.5,6,23,18,29,0.5,6,7,0,19
42,7.28125,42,22.5,77,1.5,19,29,0,15,1.5,14,15,10,1,1.5,1,12,0,18,1.5,19,10,11,1,1.5,7,11,19,21,1.5,18,14,6,8,1.5,10,17,6,11,1.5,13,14,1,16,1.5,10,22,0,4,1.5,1,1,1,0,1.5,0,13,5,0,1.5,6,17,7,1,1.5,9,0,6,6,1.5,6,21,1,20,1.5,0,27,0,23
43,9.765625,42,6.0,100,0.5,19,21,8,15,0.5,9,1,1,19,0.5,19,20,5,1,0.5,6,16,4,29,0.5,19,6,0,5,0.5,15,0,19,26,0.5,19,4,19,9,0.5,7,13,14,22,0.5,19,25,10,21,0.5,7,0,6,2,0.5,3,29,10,27,0.5,6,7,11,28,0.5,6,6,10,14,0.5,19,2,1,23,-1.0,6,24,19,5
44,9.84375,42,4.5,100,0.5,6,7,19,28,0.5,3,1,1,28,-1.0,1,5,19,18,-1.0,10,19,16,1,0.5,16,14,2,1,0.5,19,1,10,20,0.5,1,10,7,7,0.5,0,0,12,15,0.5,0,13,17,0,0.5,4,29,6,28,0.5,10,14,12,14,0.5,1,27,19,7,0.5,1,25,11,1,0.5,18,14,16,0,0.5,6,1,18,28
45,8.46875,42,2.0,100,0.5,6,25,10,17,-0.5,15,29,7,2,0.5,0,23,1,26,0.5,0,8,0,10,0.5,1,1,5,29,-1.0,11,28,0,15,0.5,6,1,0,11,0.5,19,19,19,26,0.5,7,15,2,0,0.5,1,9,4,1,0.5,19,15,8,0,-1.0,6,27,16,1,-1.0,1,12,14,22,0.5,7,5,19,20,0.5,10,14,0,9
46,9.40625,42,1.5,100,0.5,0,13,18,28,0.5,7,0,2,29,-1.0,15,29,6,22,0.5,6,18,10,0,-1.0,7,10,6,26,0.5,19,6,1,7,0.5,6,16,4,0,0.5,13,1,7,14,0.5,1,17,0,6,0.5,0,25,1,4,0.5,19,24,6,4,-1.0,5,0,6,21,-1.0,18,14,6,23,0.5,0,11,1,22,0.5,11,1,0,0
47,8.234375,42,4.5,100,0.5,6,1,7,3,0.5,19,10,1,4,0.5,1,22,7,11,-1.0,14,28,19,11,0.5,6,4,0,4,0.5,10,22,13,22,0.5,1,29,0,11,0.5,1,25,1,13,0.5,7,7,10,24,0.5,17,29,19,14,-1.0,18,28,0,10,0.5,12,28,1,1,0.5,7,4,1,26,0.5,15,29,6,3,0.5,8,15,7,8
48,9.234375,42,4.5,100,0.5,1,5,9,0,0.5,10,28,1,7,0.5,0,7,18,14,0.5,10,21,1,28,0.5,1,22,4,0,-1.0,0,25,10,27,0.5,17,0,3,1,0.5,13,15,7,2,0.5,7,6,19,6,0.5,19,14,7,11,-1.0,1,25,15,28,0.5,10,16,19,28,0.5,0,2,18,1,0.5,0,20,12,29,0.5,1,13,0,1
49,10.109375,42,0.0,100,-1.0,19,9,6,22,0.5,6,10,0,17,0.5,10,24,8,0,0.5,9,15,0,4,0.5,6,0,6,15,0.5,19,26,11,1,0.5,19,22,1,19,-1.0,0,18,17,14,0.5,14,15,18,28,0.5,10,1,10,23,0.5,17,0,0,6,-1.0,1,4,6,7,-1.0,19,11,0,25,-1.0,1,26,16,22,0.5,7,2,4,1
50,8.375,42,3.0,100,0.5,5,0,16,14,0.5,6,0,19,28,-1.0,13,22,1,9,0.5,1,24,10,0,0.5,10,21,0,3,0.5,14,22,7,14,0.5,18,0,0,13,0.5,17,15,0,27,-1.0,0,28,2,0,0.5,11,29,12,14,0.5,19,4,0,0,0.5,1,3,19,12,0.5,1,7,1,2,-1.0,13,14,15,28,0.5,14,1,13,0
51,9.140625,42,1.5,100,0.5,19,6,6,6,0.5,6,23,17,28,0.5,10,17,4,1,-1.0,2,29,18,1,0.5,1,11,1,22,-1.0,0,20,12,0,0.5,0,29,1,0,0.5,19,2,19,24,0.5,9,0,1,13,0.5,10,19,7,0,0.5,1,7,0,4,-1.0,10,28,1,5,-1.0,10,18,0,11,0.5,19,28,14,0,0.5,6,16,10,22
52,9.15625,42,3.0,100,0.5,10,0,19,12,0.5,15,0,0,2,0.5,1,12,6,24,-1.0,10,15,6,26,0.5,15,14,8,1,0.5,8,14,7,15,0.5,10,25,1,4,0.5,6,18,19,16,0.5,12,22,0,8,-1.0,1,28,13,29,0.5,8,15,16,15,0.5,14,1,6,10,-1.0,17,29,15,1,0.5,19,1,2,1,0.5,10,27,19,26
