episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
35,60.09375,42,,,,0,20,6,4,,,7,9,14,22,,,11,29,19,6,,,14,1,17,1,,,6,23,15,14,,,19,12,11,1,,,15,28,2,1,,,1,17,16,15,,,12,14,6,11,,,14.0,14.0,8.0,15.0,,,,,,
36,60.0625,42,,,,6,0,6,15,,,5,29,0,29,,,1,6,14,14,,,19,21,1,10,,,1,3,10,0,,,0,19,19,18,,,19,15,6,10,,,10,1,15,29,,,6,28,10,26,,,14.0,15.0,7.0,7.0,,,,,,
37,60.09375,42,,,,1,2,2,29,,,6,14,18,1,,,11,28,19,2,,,19,26,11,1,,,0,1,0,28,,,13,29,7,7,,,18,0,10,20,,,19,18,0,7,,,6,25,12,29,,,0.0,27.0,9.0,14.0,,,,,,
38,60.046875,42,,,,0,2,6,29,,,0,21,5,0,,,7,2,8,0,,,14,0,19,11,,,17,15,14,22,,,6,26,15,29,,,4,1,9,14,,,19,22,0,25,,,7,3,6,17,,,6.0,0.0,19.0,29.0,,,,,,
39,60.03125,42,,,,0,10,0,5,,,19,2,1,1,,,12,28,11,22,,,3,29,10,28,,,15,29,0,20,,,17,28,12,22,,,0,9,19,6,,,0,24,18,28,,,12,1,0,6,,,19.0,29.0,1.0,26.0,,,,,,
40,60.046875,42,,,,1,25,11,29,,,7,1,0,8,,,1,2,0,1,,,18,14,1,5,,,15,28,0,11,,,16,29,17,1,,,1,15,10,24,,,0,3,19,25,,,19,9,16,22,,,4.0,0.0,19.0,21.0,,,,,,
41,60.046875,42,,,,1,24,15,22,,,3,29,18,0,,,18,1,13,1,,,1,26,17,1,,,0,13,17,28,,,12,14,7,0,,,16,22,0,9,,,19,22,7,2,,,19,13,1,16,,,0.0,27.0,0.0,26.0,,,,,,
42,60.046875,42,,,,0,28,1,5,,,13,1,17,0,,,7,13,14,15,,,9,1,0,12,,,14,28,1,14,,,9,15,0,3,,,11,0,2,29,,,0,19,0,22,,,18,1,13,22,,,7.0,0.0,8.0,1.0,,,,,,
43,60.015625,42,,,,19,25,19,3,,,14,29,7,3,,,10,26,13,22,,,7,14,6,22,,,0,12,1,9,,,0,16,6,12,,,10,27,0,21,,,0,1,15,22,,,0,9,1,12,,,1.0,20.0,6.0,14.0,,,,,,
44,60.03125,42,,,,19,25,1,3,,,10,21,1,26,,,7,3,19,17,,,9,14,9,1,,,16,0,5,0,,,1,28,6,23,,,11,1,10,18,,,19,0,13,14,,,10,17,11,22,,,7.0,0.0,6.0,29.0,,,,,,
