episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y
44,1.59375,42,9.0,48,1.5,9,1,17,22,1.5,1,5,0,12,1.5,0,4,6,26,1.5,7,2,1,14,1.5,13,22,10,21,1.5,0,26,1,9
45,2.203125,42,9.0,62,1.5,6,18,19,1,1.5,8,0,19,26,1.5,17,15,16,14,1.5,12,22,7,13,1.5,6,0,18,1,1.5,16,22,14,15
46,1.34375,42,9.0,39,1.5,1,11,10,16,1.5,9,0,1,22,1.5,19,4,19,18,1.5,0,9,1,27,1.5,1,24,6,23,1.5,7,10,11,15
47,3.59375,42,1.0,100,0.5,6,13,17,22,0.5,3,1,19,5,0.5,19,13,0,24,-0.5,0,11,0,23,0.5,8,1,6,20,-0.5,0,1,0,21
48,2.453125,42,9.0,70,1.5,17,28,6,1,1.5,19,12,19,7,1.5,18,0,10,18,1.5,12,29,1,24,1.5,16,22,15,29,1.5,0,22,19,25
49,1.390625,42,9.0,38,1.5,15,29,7,15,1.5,10,29,17,15,1.5,14,22,19,22,1.5,11,15,9,0,1.5,1,0,18,15,1.5,10,27,6,1
50,2.921875,42,-0.5,100,-0.5,6,16,1,2,-1.0,17,22,1,27,-0.5,12,29,6,27,0.5,7,3,2,1,0.5,11,14,7,7,0.5,16,0,0,13
51,0.96875,42,9.0,35,1.5,1,23,6,2,1.5,1,7,7,13,1.5,6,5,6,27,1.5,6,23,6,11,1.5,6,12,6,14,1.5,10,24,14,15
52,2.703125,42,9.0,88,1.5,4,1,7,8,1.5,1,11,12,14,1.5,16,14,15,22,1.5,12,29,19,10,1.5,19,18,6,3,1.5,1,23,18,14
53,1.359375,42,9.0,44,1.5,18,1,8,15,1.5,7,3,1,16,1.5,7,10,15,15,1.5,9,0,16,28,1.5,11,28,11,0,1.5,19,20,10,0
54,1.609375,42,9.0,57,1.5,14,15,18,28,1.5,0,16,10,22,1.5,0,8,19,11,1.5,3,29,13,1,1.5,1,16,1,0,1.5,1,10,7,13
55,2.078125,42,9.0,69,1.5,0,21,19,15,1.5,19,19,10,19,1.5,10,28,14,0,1.5,10,26,0,19,1.5,14,1,1,1,1.5,11,1,8,1
56,3.25,42,0.5,100,0.5,6,21,19,14,0.5,19,20,16,0,-0.5,10,21,19,17,-1.0,1,8,19,29,0.5,6,29,0,20,0.5,16,22,16,15
57,2.09375,42,9.0,60,1.5,0,11,0,29,1.5,1,28,10,27,1.5,0,21,10,15,1.5,14,0,1,8,1.5,8,1,0,1,1.5,10,21,1,9
58,1.40625,42,9.0,39,1.5,12,22,8,0,1.5,10,17,15,14,1.5,8,1,7,10,1.5,7,6,19,11,1.5,14,1,1,23,1.5,7,4,16,22
59,2.0625,42,9.0,58,1.5,18,0,7,9,1.5,10,23,0,26,1.5,0,27,11,29,1.5,1,1,14,0,1.5,16,0,14,1,1.5,19,14,0,20
