episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_steps,agent_12_total_distance,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
85,60.046875,42,,,,19,19,0,24,,,19,12,7,8,,,6,0,10,29,,,18,0,7,2,,,19,15,13,14,,,19,25,1,25,,,0,4,10,24,,,14,28,11,15,,,19,29,11,1,,,15,15,4,0,,,1,23,5,0,,,15.0,14.0,1.0,29.0,,,,,,
86,60.046875,42,,,,7,3,0,1,,,10,20,0,8,,,6,11,6,4,,,6,21,7,2,,,3,29,16,15,,,1,20,1,0,,,11,29,17,29,,,17,0,1,23,,,4,0,1,1,,,18,28,13,14,,,10,16,15,28,,,1.0,8.0,10.0,24.0,,,,,,
87,60.046875,42,,,,0,26,19,2,,,6,17,19,14,,,7,1,4,0,,,19,29,19,25,,,3,29,11,0,,,1,14,0,15,,,19,17,19,15,,,1,5,1,1,,,0,6,10,20,,,6,24,16,14,,,6,19,1,27,,,10.0,27.0,2.0,1.0,,,,,,
88,60.0625,42,,,,7,7,7,13,,,19,3,10,0,,,1,21,1,25,,,12,0,7,12,,,7,1,4,1,,,0,25,12,29,,,13,22,16,15,,,17,22,11,28,,,10,17,0,0,,,1,10,19,28,,,1,5,0,5,,,6.0,24.0,19.0,29.0,,,,,,
89,60.0625,42,,,,0,7,1,10,,,8,0,6,25,,,0,24,1,18,,,0,21,0,11,,,12,28,6,12,,,14,1,12,14,,,0,27,15,14,,,19,24,6,8,,,6,1,6,2,,,6,0,16,1,,,4,29,12,22,,,7.0,3.0,17.0,22.0,,,,,,
90,60.015625,42,,,,19,8,1,20,,,17,14,19,5,,,19,15,2,1,,,6,23,1,2,,,6,18,10,16,,,6,1,19,2,,,1,23,19,10,,,14,29,0,22,,,13,28,6,2,,,16,22,1,5,,,1,8,5,1,,,7.0,10.0,9.0,0.0,,,,,,
91,60.015625,42,,,,3,1,6,5,,,0,15,11,28,,,7,14,14,29,,,0,12,17,14,,,1,21,6,6,,,0,0,1,8,,,0,19,0,6,,,6,27,1,3,,,18,1,0,14,,,15,28,18,28,,,0,22,2,1,,,0.0,7.0,10.0,0.0,,,,,,
92,60.015625,42,,,,9,1,15,0,,,7,2,1,16,,,17,1,7,13,,,0,9,14,29,,,0,21,13,28,,,6,24,7,4,,,6,18,5,1,,,9,14,6,12,,,14,15,6,22,,,10,20,1,20,,,1,28,10,29,,,6.0,2.0,1.0,17.0,,,,,,
93,60.03125,42,,,,11,22,6,19,,,15,0,13,14,,,19,21,19,27,,,0,27,18,14,,,15,1,1,1,,,0,19,11,28,,,6,5,1,11,,,1,10,7,0,,,1,7,19,11,,,0,10,6,17,,,17,14,1,12,,,0.0,13.0,19.0,1.0,,,,,,
94,60.015625,42,,,,19,19,14,15,,,19,24,0,1,,,19,0,10,15,,,7,2,14,28,,,1,14,10,0,,,10,27,6,15,,,1,20,17,15,,,7,6,6,12,,,11,29,13,22,,,19,17,7,4,,,4,0,0,6,,,1.0,27.0,8.0,15.0,,,,,,
95,60.015625,42,,,,0,11,6,7,,,19,14,10,14,,,10,23,1,6,,,6,13,6,16,,,7,9,15,0,,,10,27,2,1,,,1,29,1,0,,,4,0,8,1,,,6,23,1,7,,,15,1,6,0,,,0,23,7,1,,,17.0,15.0,10.0,15.0,,,,,,
96,60.09375,42,,,,11,14,15,29,,,12,15,1,9,,,18,0,17,29,,,0,15,19,4,,,6,10,0,21,,,0,0,7,5,,,0,2,17,22,,,1,18,7,7,,,10,22,19,15,,,19,5,7,6,,,15,28,0,13,,,11.0,22.0,6.0,5.0,,,,,,
97,60.03125,42,,,,1,19,0,23,,,7,6,6,24,,,10,20,8,1,,,7,4,1,10,,,1,14,0,17,,,4,29,1,0,,,12,22,11,28,,,0,6,18,28,,,19,5,1,11,,,0,22,6,1,,,6,22,6,6,,,1.0,17.0,6.0,10.0,,,,,,
98,60.0625,42,,,,1,25,0,7,,,0,12,13,14,,,8,14,0,22,,,6,9,15,0,,,6,6,0,24,,,2,0,0,11,,,19,13,0,26,,,10,25,7,3,,,6,23,10,27,,,1,17,6,21,,,16,22,0,27,,,19.0,4.0,1.0,15.0,,,,,,
99,60.078125,42,,,,18,14,6,19,,,19,21,0,14,,,15,0,6,2,,,0,23,7,5,,,17,1,19,18,,,13,0,0,19,,,8,14,10,18,,,1,2,19,10,,,19,29,16,28,,,6,29,19,12,,,0,10,1,9,,,1.0,18.0,16.0,22.0,,,,,,
100,60.0625,42,,,,19,25,10,19,,,6,2,7,5,,,7,12,0,29,,,8,15,11,28,,,7,11,6,1,,,4,0,1,19,,,19,23,1,14,,,19,20,0,23,,,6,15,18,29,,,16,28,0,7,,,6,19,10,20,,,16.0,15.0,10.0,18.0,,,,,,
