episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
38,60.046875,42,,,,13,1,14,15,,,7,13,0,12,,,9,1,1,14,,,14,28,0,3,,,9,15,2,29,,,11,0,0,22,,,0,19,13,22,,,18,1,8,1,,,7,0,19,25,,,1,5,14,29,,,17.0,0.0,10.0,26.0,,,,,,
39,1.140625,42,62.0,29.0,28.0,0,12,6,12,6.0,5.0,0,16,0,21,11.0,10.0,10,27,15,22,13.0,12.0,0,1,1,12,28.0,27.0,0,9,6,14,62.0,61.0,1,20,19,25,28.0,27.0,19,3,10,21,14.0,13.0,7,3,9,14,38.0,37.0,13,22,16,0,14.0,13.0,6,22,1,28,,,,,,,32.0,31.0,7.0,14.0,1.0,9.0
40,60.0625,42,,,,11,1,13,14,,,19,0,1,28,,,10,17,11,22,,,7,0,6,29,,,1,3,19,16,,,1,26,1,6,,,19,17,7,3,,,9,1,7,14,,,5,0,13,0,,,6,23,6,20,,,10.0,18.0,19.0,10.0,,,,,,
41,60.03125,42,,,,7,6,16,0,,,0,29,10,25,,,0,27,6,19,,,19,23,11,1,,,1,0,6,22,,,19,18,1,5,,,3,0,6,21,,,0,21,17,29,,,5,0,1,19,,,10,26,10,20,,,6.0,25.0,10.0,23.0,,,,,,
42,60.078125,42,,,,6,0,6,8,,,19,11,10,15,,,0,8,10,21,,,4,29,13,14,,,6,23,9,15,,,7,7,11,22,,,7,6,10,20,,,1,3,11,28,,,1,21,10,27,,,0,21,1,26,,,10.0,17.0,16.0,1.0,,,,,,
43,60.03125,42,,,,6,6,14,15,,,9,15,10,1,,,1,15,19,3,,,6,26,0,29,,,8,15,19,11,,,10,29,18,1,,,8,14,7,13,,,6,10,14,14,,,19,21,8,1,,,7,15,2,1,,,16.0,29.0,16.0,22.0,,,,,,
44,60.046875,42,,,,1,26,17,29,,,6,0,17,14,,,8,0,0,17,,,17,28,3,1,,,6,15,10,15,,,7,11,6,4,,,0,9,7,9,,,0,26,1,9,,,0,12,14,14,,,0,16,5,29,,,18.0,29.0,0.0,15.0,,,,,,
45,60.046875,42,,,,14,28,1,24,,,19,7,10,23,,,0,3,12,14,,,6,27,0,27,,,17,15,7,14,,,13,15,6,11,,,18,15,7,12,,,6,23,19,20,,,6,13,0,17,,,13,22,19,28,,,1.0,5.0,7.0,0.0,,,,,,
46,60.109375,42,,,,15,22,0,2,,,6,25,12,15,,,5,29,1,17,,,12,29,15,1,,,1,2,8,14,,,13,15,7,4,,,15,0,1,7,,,6,16,13,22,,,19,12,6,23,,,11,14,17,28,,,6.0,4.0,19.0,11.0,,,,,,
47,60.03125,42,,,,19,27,6,17,,,19,20,6,3,,,10,1,0,18,,,1,15,17,28,,,17,29,15,0,,,16,22,0,9,,,11,28,6,27,,,1,2,7,7,,,7,13,7,5,,,7,0,19,11,,,18.0,0.0,1.0,4.0,,,,,,
