episode,cpu_time,seed,total_reward,timesteps,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
91,0.984375,42,6.0,41,1.5,14,15,9,5,1.5,3,7,14,11,1.5,6,1,1,19,1.5,8,20,3,4
92,1.046875,42,6.0,44,1.5,2,16,14,13,1.5,7,1,9,5,1.5,11,16,3,16,1.5,7,18,11,15
93,0.875,42,6.0,37,1.5,10,6,10,16,1.5,12,7,6,20,1.5,6,18,3,1,1.5,14,11,8,4
94,0.765625,42,6.0,33,1.5,13,11,5,7,1.5,11,13,2,10,1.5,0,1,7,13,1.5,14,18,14,13
95,2.28125,42,-1.5,100,0.5,2,13,11,4,-1.0,10,14,0,13,-0.5,14,2,9,16,-0.5,13,12,8,4
96,1.015625,42,6.0,41,1.5,8,0,5,19,1.5,2,1,7,17,1.5,0,4,13,8,1.5,9,4,11,14
97,0.984375,42,6.0,41,1.5,7,18,14,8,1.5,6,1,8,17,1.5,8,1,5,20,1.5,14,16,0,4
98,0.890625,42,6.0,37,1.5,2,7,14,2,1.5,9,4,0,19,1.5,12,7,14,20,1.5,11,16,7,3
99,0.984375,42,6.0,41,1.5,13,10,14,20,1.5,12,7,11,1,1.5,5,13,2,7,1.5,11,4,0,19
100,0.828125,42,6.0,35,1.5,10,16,14,5,1.5,2,19,11,3,1.5,11,1,1,19,1.5,0,10,10,10
