episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
74,0.125,42,-4.0,100,-1.0,5,1,3,18,-1.0,9,16,9,0,-1.0,9,6,3,11,-1.0,9,4,6,15
75,0.1875,42,-4.0,100,-1.0,6,10,0,12,-1.0,2,0,3,15,-1.0,3,0,3,19,-1.0,0,5,0,15
76,0.140625,42,-3.0,100,-0.5,3,14,3,9,-1.0,6,7,5,0,-1.0,1,1,6,19,-0.5,3,7,3,6
77,0.125,42,-4.0,100,-1.0,3,15,1,1,-1.0,3,10,3,3,-1.0,0,16,9,0,-1.0,6,15,9,15
78,0.140625,42,-4.0,100,-1.0,6,13,8,0,-1.0,9,12,3,6,-1.0,9,6,3,18,-1.0,4,0,6,1
79,0.140625,42,-3.5,100,-1.0,9,16,0,18,-1.0,9,6,9,2,-0.5,4,1,6,2,-1.0,6,12,6,1
80,0.171875,42,-3.5,100,-1.0,8,0,0,16,-1.0,6,10,6,19,-0.5,0,6,0,3,-1.0,3,2,0,18
81,0.140625,42,-4.0,100,-1.0,6,6,9,12,-1.0,6,15,0,12,-1.0,5,0,9,15,-1.0,9,7,6,8
82,0.125,42,-3.5,100,-1.0,6,10,6,5,-0.5,0,8,0,7,-1.0,6,9,6,0,-1.0,6,18,9,14
83,0.109375,42,-4.0,100,-1.0,6,18,9,1,-1.0,0,12,3,13,-1.0,9,16,6,6,-1.0,0,15,3,16
84,0.140625,42,-4.0,100,-1.0,9,0,9,15,-1.0,9,19,0,8,-1.0,9,1,2,1,-1.0,9,13,6,18
85,0.140625,42,-3.0,100,-0.5,6,6,6,8,-1.0,0,4,0,15,-0.5,0,8,0,11,-1.0,5,1,6,3
86,0.140625,42,-4.0,100,-1.0,0,0,6,14,-1.0,6,4,6,0,-1.0,3,19,6,18,-1.0,3,18,8,0
87,0.15625,42,-4.0,100,-1.0,9,12,1,1,-1.0,9,1,6,7,-1.0,5,1,0,12,-1.0,4,1,9,13
88,0.125,42,-3.5,100,-1.0,9,5,6,18,-1.0,0,11,0,8,-0.5,9,0,4,0,-1.0,0,10,6,12
89,0.140625,42,-4.0,100,-1.0,6,19,0,19,-1.0,3,14,6,13,-1.0,9,12,3,6,-1.0,8,1,9,10
90,0.171875,42,-3.5,100,-0.5,9,3,9,1,-1.0,8,0,3,9,-1.0,6,10,6,0,-1.0,3,0,3,4
91,0.109375,42,-4.0,100,-1.0,3,4,0,7,-1.0,0,14,9,14,-1.0,9,16,6,3,-1.0,0,13,3,16
92,0.125,42,-4.0,100,-1.0,6,19,6,2,-1.0,3,11,9,15,-1.0,0,11,9,14,-1.0,0,16,3,9
93,0.15625,42,-2.5,100,-1.0,8,1,3,10,0.5,6,8,6,11,-1.0,4,0,9,18,-1.0,0,12,0,0
94,0.125,42,-3.5,100,-1.0,6,18,0,10,-0.5,9,5,3,0,-1.0,9,15,9,6,-1.0,3,14,9,8
95,0.125,42,-4.0,100,-1.0,6,10,0,2,-1.0,0,11,6,15,-1.0,3,19,6,2,-1.0,6,6,0,1
96,0.125,42,-4.0,100,-1.0,0,8,3,15,-1.0,3,17,3,3,-1.0,6,18,9,17,-1.0,9,3,3,18
97,0.15625,42,-4.0,100,-1.0,3,5,5,1,-1.0,3,16,9,12,-1.0,0,1,6,19,-1.0,3,3,8,1
98,0.140625,42,-4.0,100,-1.0,6,2,0,4,-1.0,0,10,9,8,-1.0,3,11,6,14,-1.0,9,19,3,2
99,0.15625,42,-3.0,100,-1.0,8,1,6,13,-1.0,9,4,9,19,-0.5,0,3,0,2,-0.5,0,9,0,12
100,0.125,42,-4.0,100,-1.0,6,11,9,10,-1.0,6,9,9,7,-1.0,0,8,0,2,-1.0,6,14,2,0
