episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_12_steps,agent_12_total_distance,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
39,60.046875,42,,,,5,0,3,12,,,9,15,9,11,,,0,8,6,10,,,9,19,3,6,,,4,0,0,1,,,7,19,6,14,,,3,17,1,18,,,3,4,5,9,,,6,15,4,9,,,0,16,0,18,,,6,17,6,18,,,7.0,10.0,0.0,19.0,,,,,,
40,60.03125,42,,,,3,16,3,13,,,9,1,3,6,,,9,10,0,9,,,9,18,9,0,,,9,15,7,10,,,6,0,0,4,,,1,10,3,18,,,8,9,4,10,,,6,11,4,9,,,0,16,0,17,,,5,0,3,3,,,3.0,19.0,1.0,0.0,,,,,,
41,60.03125,42,,,,2,9,4,19,,,9,9,0,1,,,9,13,0,9,,,0,5,2,19,,,6,9,9,1,,,2,1,9,3,,,1,9,6,0,,,3,1,6,11,,,4,18,3,15,,,9,19,6,13,,,6,4,8,9,,,6.0,19.0,7.0,18.0,,,,,,
42,60.03125,42,,,,6,7,5,10,,,0,6,7,19,,,7,0,6,15,,,3,10,9,2,,,7,9,5,0,,,5,18,3,17,,,9,6,9,9,,,3,7,3,3,,,9,12,6,4,,,9,1,0,13,,,3,6,3,12,,,4.0,10.0,6.0,3.0,,,,,,
43,60.046875,42,,,,4,19,1,0,,,9,2,0,0,,,5,10,3,7,,,5,1,3,4,,,0,12,1,9,,,0,2,2,18,,,3,14,6,6,,,9,19,9,11,,,9,10,6,16,,,6,8,3,19,,,6,9,3,16,,,3.0,13.0,3.0,3.0,,,,,,
44,60.03125,42,,,,0,16,8,10,,,6,5,6,7,,,6,1,9,5,,,0,0,4,10,,,3,16,9,18,,,3,0,7,18,,,0,19,6,11,,,6,17,9,8,,,5,9,5,1,,,6,9,6,19,,,6,18,3,1,,,9.0,17.0,9.0,15.0,,,,,,
45,60.03125,42,,,,6,8,9,15,,,8,0,3,16,,,4,1,9,16,,,9,4,0,12,,,0,8,9,18,,,0,13,0,17,,,5,0,3,1,,,7,0,8,19,,,8,10,7,1,,,3,19,7,9,,,6,11,6,9,,,6.0,0.0,3.0,8.0,,,,,,
46,60.046875,42,,,,0,0,3,5,,,0,14,9,17,,,3,2,2,9,,,0,4,3,15,,,5,0,0,8,,,8,0,8,9,,,9,15,6,11,,,4,18,0,9,,,9,5,1,19,,,9,18,6,0,,,9,3,5,18,,,4.0,1.0,8.0,10.0,,,,,,
47,60.015625,42,,,,2,18,9,12,,,9,11,6,14,,,3,19,7,18,,,8,19,6,18,,,2,1,6,12,,,0,4,7,19,,,0,6,0,0,,,3,11,9,4,,,9,14,7,1,,,0,5,3,13,,,3,10,8,9,,,0.0,12.0,3.0,12.0,,,,,,
48,60.046875,42,,,,0,5,5,10,,,9,9,0,3,,,2,1,7,18,,,0,11,3,14,,,6,8,6,17,,,9,3,9,7,,,3,19,6,6,,,0,0,6,13,,,9,14,2,10,,,5,1,3,16,,,2,18,9,2,,,6.0,14.0,5.0,9.0,,,,,,
