episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
22,10.234375,42,0.5,100,0.5,10,1,19,26,0.5,10,0,18,1,0.5,6,14,9,14,-1.0,15,29,0,28,0.5,6,10,11,1,0.5,10,26,10,20,-1.0,1,2,12,29,0.5,1,10,2,29,-1.0,19,18,19,2,-1.0,14,15,13,29,0.5,7,7,0,7,0.5,6,28,0,1,-1.0,19,15,11,28,0.5,14,14,0,27,0.5,0,29,6,25,0.5,6,15,18,0
23,8.5625,42,24.0,86,1.5,0,21,0,25,1.5,7,3,17,28,1.5,15,29,10,28,1.5,5,0,12,1,1.5,6,29,0,24,1.5,8,0,0,5,1.5,14,22,11,22,1.5,19,22,3,29,1.5,6,0,0,9,1.5,14,0,19,29,1.5,19,11,1,1,1.5,7,2,6,17,1.5,0,2,9,14,1.5,4,1,12,28,1.5,6,26,19,2,1.5,17,15,0,10
24,9.765625,42,24.0,97,1.5,12,22,0,8,1.5,1,2,16,22,1.5,4,0,19,22,1.5,16,29,3,29,1.5,15,28,1,24,1.5,1,15,18,1,1.5,19,9,12,14,1.5,7,1,19,25,1.5,18,14,19,21,1.5,18,28,1,5,1.5,0,3,0,13,1.5,19,6,0,1,1.5,0,20,11,29,1.5,1,25,10,24,1.5,1,26,17,1,1.5,0,6,0,11
25,7.6875,42,24.0,82,1.5,0,27,11,0,1.5,0,9,1,14,1.5,14,28,14,29,1.5,0,26,0,22,1.5,1,16,2,29,1.5,0,28,13,22,1.5,9,1,19,25,1.5,7,0,0,12,1.5,7,2,0,3,1.5,18,0,18,1,1.5,7,13,8,1,1.5,15,22,0,19,1.5,19,13,9,15,1.5,17,28,14,15,1.5,17,1,17,0,1.5,13,1,1,5
26,10.0625,42,5.0,100,0.5,7,14,6,14,0.5,19,3,19,0,0.5,15,22,5,0,0.5,6,22,1,3,0.5,13,22,7,0,0.5,1,9,1,26,0.5,0,21,9,1,0.5,1,20,11,1,0.5,7,3,10,17,-1.0,0,16,10,21,0.5,6,12,19,17,-1.0,0,12,19,25,0.5,10,26,1,12,0.5,0,9,1,28,0.5,0,1,16,0,0.5,10,27,9,14
27,10.109375,42,5.0,100,0.5,10,18,0,27,-1.0,1,6,10,26,0.5,7,6,1,5,0.5,7,14,10,25,0.5,7,3,16,0,0.5,13,0,6,19,-1.0,19,10,6,22,0.5,19,16,5,0,0.5,1,3,6,25,0.5,13,14,1,0,0.5,6,20,11,1,0.5,9,1,19,23,0.5,6,23,0,29,0.5,6,29,0,21,0.5,11,22,3,0,0.5,1,28,19,18
28,10.21875,42,-8.5,100,-1.0,17,29,6,8,-1.0,0,8,10,27,-1.0,0,21,10,29,0.5,7,7,6,6,0.5,6,23,16,1,0.5,7,6,1,15,-1.0,1,21,8,15,-1.0,19,11,11,28,0.5,4,29,1,26,-1.0,19,18,10,21,0.5,1,3,6,26,-1.0,1,19,10,15,-1.0,6,21,10,17,-1.0,6,0,11,22,-1.0,10,23,9,15,-1.0,10,20,13,14
29,9.875,42,6.5,100,0.5,6,10,6,0,0.5,0,29,0,12,0.5,16,22,10,15,0.5,7,13,17,29,0.5,18,1,18,29,0.5,14,14,17,14,0.5,2,1,3,1,0.5,19,3,0,26,0.5,19,11,0,16,0.5,7,15,17,28,0.5,8,1,0,17,0.5,19,21,8,0,0.5,8,14,1,26,0.5,10,1,0,9,0.5,14,15,7,11,-1.0,16,29,6,15
30,9.859375,42,6.5,100,0.5,7,9,1,24,0.5,0,3,19,20,0.5,13,22,1,2,0.5,13,15,7,0,-1.0,17,15,19,28,0.5,18,15,15,22,0.5,6,13,12,29,0.5,19,7,7,12,0.5,6,27,0,17,0.5,14,14,12,14,0.5,6,23,6,25,0.5,1,9,10,23,0.5,6,4,1,5,0.5,14,28,6,11,0.5,0,15,7,14,0.5,5,29,0,27
31,10.625,42,5.0,100,-1.0,15,0,19,27,0.5,1,17,1,2,0.5,17,28,0,9,0.5,7,4,18,0,0.5,8,14,7,0,0.5,1,7,6,17,0.5,6,23,0,18,-1.0,12,15,11,28,0.5,15,1,7,13,0.5,19,12,10,1,0.5,13,22,6,3,0.5,6,16,19,20,0.5,13,15,19,11,0.5,0,2,16,22,0.5,6,4,17,29,0.5,11,14,1,15
32,10.84375,42,1.0,100,0.5,7,7,10,20,-1.0,19,8,18,14,-0.5,7,10,15,14,-1.0,11,0,11,22,0.5,0,10,10,1,0.5,1,23,6,21,0.5,4,0,16,14,0.5,1,25,18,0,0.5,19,16,11,14,0.5,19,11,0,3,0.5,1,14,12,14,0.5,7,5,14,0,-1.0,6,27,19,28,-1.0,1,11,17,29,0.5,5,1,2,1,0.5,1,4,0,19
