episode,cpu_time,seed,total_reward,timesteps,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
40,5.828125,42,2.0,100,0.5,1,2,0,1,0.5,19,9,16,22,0.5,4,0,19,21,0.5,1,15,10,24,0.5,15,28,0,11,-1.0,1,25,11,29,0.5,7,1,0,8,0.5,0,3,19,25,0.5,18,14,1,5,-1.0,16,29,17,1
41,5.875,42,3.5,100,0.5,18,1,13,1,0.5,19,13,1,16,0.5,0,27,0,26,0.5,16,22,0,9,0.5,0,13,17,28,0.5,1,24,15,22,0.5,3,29,18,0,0.5,19,22,7,2,-1.0,1,26,17,1,0.5,12,14,7,0
42,4.390625,42,15.0,74,1.5,7,13,14,15,1.5,18,1,13,22,1.5,7,0,8,1,1.5,11,0,2,29,1.5,14,28,1,14,1.5,0,28,1,5,1.5,13,1,17,0,1.5,0,19,0,22,1.5,9,1,0,12,1.5,9,15,0,3
43,5.6875,42,3.5,100,0.5,10,26,13,22,0.5,0,9,1,12,0.5,1,20,6,14,0.5,10,27,0,21,0.5,0,12,1,9,0.5,19,25,19,3,0.5,14,29,7,3,-1.0,0,1,15,22,0.5,7,14,6,22,0.5,0,16,6,12
44,5.828125,42,3.5,100,0.5,7,3,19,17,-1.0,10,17,11,22,0.5,7,0,6,29,0.5,11,1,10,18,0.5,16,0,5,0,0.5,19,25,1,3,0.5,10,21,1,26,0.5,19,0,13,14,0.5,9,14,9,1,0.5,1,28,6,23
45,5.75,42,3.5,100,0.5,1,3,1,0,0.5,7,6,6,25,0.5,0,29,16,0,0.5,6,20,5,0,0.5,7,14,3,0,0.5,19,16,0,27,-1.0,1,6,19,23,0.5,19,10,10,26,0.5,7,3,19,18,0.5,13,0,0,21
46,5.671875,42,2.0,100,0.5,11,1,6,0,0.5,1,19,7,6,0.5,19,18,1,3,0.5,6,21,6,23,0.5,6,22,0,8,0.5,10,25,10,20,-1.0,6,19,10,23,-1.0,17,29,7,7,0.5,19,23,19,11,0.5,1,5,4,29
47,5.765625,42,0.5,100,0.5,10,17,6,0,-1.0,11,22,8,15,0.5,10,20,10,29,0.5,13,14,1,15,0.5,10,15,16,1,-1.0,1,21,11,28,-1.0,0,21,10,27,0.5,9,15,6,26,0.5,6,8,1,26,0.5,10,21,6,6
48,3.125,42,15.0,51,1.5,19,21,14,14,1.5,0,29,8,0,1.5,19,11,17,28,1.5,10,1,1,26,1.5,16,29,2,1,1.5,8,14,18,1,1.5,6,10,7,13,1.5,19,3,6,0,1.5,7,15,8,1,1.5,14,15,16,22
49,5.921875,42,3.5,100,0.5,0,9,6,4,0.5,17,14,14,28,0.5,0,17,19,7,0.5,18,29,5,29,0.5,0,12,1,9,0.5,6,15,3,1,0.5,7,11,10,15,-1.0,17,29,0,15,0.5,0,26,7,9,0.5,0,16,14,14
