episode,cpu_time,seed,total_reward,timesteps,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_18_reward,agent_18_start_x,agent_18_start_y,agent_18_goal_x,agent_18_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_16_reward,agent_16_start_x,agent_16_start_y,agent_16_goal_x,agent_16_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_17_reward,agent_17_start_x,agent_17_start_y,agent_17_goal_x,agent_17_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_19_reward,agent_19_start_x,agent_19_start_y,agent_19_goal_x,agent_19_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y
21,12.1875,42,-2.0,100,-0.5,19,16,6,19,0.5,5,0,19,18,-1.0,6,29,10,25,0.5,13,14,10,26,-1.0,1,3,6,22,0.5,19,10,10,20,0.5,0,27,19,11,0.5,7,3,1,5,-1.0,13,0,17,29,-1.0,7,6,10,23,0.5,6,20,1,19,0.5,0,29,6,0,0.5,10,18,0,21,0.5,9,1,1,0,-1.0,19,23,0,8,-0.5,1,28,6,25,-0.5,1,6,11,1,0.5,6,23,3,0,0.5,11,22,16,0,-1.0,7,14,6,21
22,13.296875,42,0.5,100,-1.0,6,8,7,15,0.5,6,23,1,15,0.5,10,17,19,21,-1.0,1,3,10,29,0.5,10,21,14,15,0.5,11,28,18,1,0.5,1,26,8,1,-0.5,13,14,10,1,0.5,11,22,0,29,-1.0,10,27,7,13,0.5,10,20,19,11,0.5,6,0,14,14,-1.0,7,6,8,15,0.5,4,29,6,6,0.5,16,1,2,1,-1.0,1,21,8,14,0.5,10,15,16,29,0.5,7,7,6,26,-0.5,0,21,6,10,0.5,9,15,19,3
23,13.375,42,1.0,100,-1.0,0,26,13,15,0.5,1,26,5,29,-1.0,0,9,17,15,0.5,17,28,19,7,-1.0,0,16,6,23,0.5,3,1,10,23,0.5,7,9,7,14,-0.5,18,29,6,13,0.5,17,14,1,5,-0.5,10,15,12,14,0.5,0,17,1,24,0.5,6,4,0,27,-1.0,8,0,14,28,0.5,16,22,14,14,0.5,1,9,6,11,0.5,6,15,0,3,-0.5,0,12,18,15,0.5,6,0,0,15,0.5,7,11,6,27,0.5,17,29,13,22
24,12.09375,42,-1.0,100,-0.5,12,29,10,1,-1.0,19,20,7,4,-0.5,5,29,19,27,0.5,7,0,6,23,-0.5,13,15,17,29,-0.5,6,4,6,17,0.5,1,17,0,9,-1.0,15,0,16,22,-0.5,19,12,7,13,-0.5,0,2,6,3,0.5,11,14,18,0,0.5,12,15,0,18,0.5,19,28,13,22,-0.5,7,12,8,14,0.5,15,1,6,27,-0.5,15,22,17,28,0.5,1,2,1,15,0.5,0,17,1,7,0.5,6,25,19,11,0.5,6,16,11,28
25,11.578125,42,3.5,100,-0.5,19,16,12,14,0.5,7,5,17,29,0.5,19,8,6,21,-0.5,5,1,11,14,-0.5,11,0,15,14,0.5,19,28,14,28,0.5,0,3,6,5,0.5,1,23,10,26,0.5,4,0,14,1,-0.5,10,20,9,1,0.5,7,10,6,11,0.5,14,0,19,2,-0.5,1,4,18,14,0.5,7,7,2,1,0.5,0,19,19,14,0.5,1,11,10,1,-1.0,0,10,16,14,0.5,19,11,18,0,0.5,1,25,11,22,0.5,1,14,0,13
26,13.359375,42,2.5,100,0.5,7,13,0,1,0.5,6,3,0,5,0.5,6,12,1,10,-1.0,15,22,19,11,0.5,19,9,1,13,0.5,6,15,7,0,-0.5,7,12,1,2,0.5,5,0,1,29,0.5,0,27,19,13,-1.0,6,5,6,24,0.5,18,1,13,0,-0.5,10,19,5,1,0.5,8,15,19,29,0.5,18,0,0,24,0.5,8,0,10,23,0.5,12,29,11,0,0.5,6,26,6,0,-1.0,7,8,6,19,-0.5,18,14,6,17,0.5,10,20,10,25
27,14.296875,42,3.0,100,-0.5,13,28,14,14,-1.0,0,1,19,21,0.5,11,1,7,14,0.5,1,8,18,29,0.5,16,22,6,28,-0.5,15,14,1,5,-0.5,7,15,14,15,0.5,10,28,11,22,0.5,7,7,19,23,0.5,11,28,4,0,-1.0,19,26,0,24,-0.5,19,7,17,14,0.5,3,0,7,3,0.5,10,15,3,29,0.5,14,0,14,29,0.5,13,14,0,16,0.5,19,25,16,29,0.5,6,23,16,0,0.5,8,14,0,26,0.5,19,2,10,0
28,15.34375,42,-1.5,100,0.5,19,21,6,29,0.5,6,7,0,19,-0.5,15,29,19,12,-0.5,4,29,9,1,0.5,19,1,1,24,-0.5,19,24,0,11,-0.5,0,16,19,14,-0.5,19,26,0,8,-0.5,7,4,6,13,-1.0,1,25,6,12,0.5,6,2,19,19,0.5,6,22,0,25,-0.5,0,28,10,1,-0.5,11,1,11,22,0.5,16,14,12,15,0.5,0,9,16,22,-0.5,7,10,17,14,0.5,0,1,1,20,0.5,7,14,2,0,-0.5,18,15,0,12
29,12.515625,42,-6.0,100,-1.0,16,22,12,14,0.5,13,28,8,15,-1.0,6,18,10,25,-1.0,0,1,6,19,0.5,0,11,1,24,0.5,18,15,15,29,-1.0,7,15,13,22,0.5,19,8,6,23,0.5,0,23,8,14,-0.5,6,29,19,7,0.5,10,28,6,7,-1.0,19,18,4,29,-1.0,15,28,15,1,-1.0,15,14,12,22,-1.0,2,0,10,21,0.5,18,29,13,14,0.5,6,15,1,28,0.5,11,29,0,6,-1.0,14,22,19,6,-1.0,1,23,18,14
30,12.5625,42,-0.5,100,0.5,12,22,10,22,0.5,6,18,6,21,0.5,1,12,14,15,0.5,9,15,10,17,-1.0,12,15,6,17,-1.0,16,28,0,23,-0.5,11,14,0,15,-0.5,6,6,7,11,-1.0,13,29,1,20,-0.5,9,0,6,11,-0.5,6,25,1,0,0.5,19,29,0,18,0.5,2,29,0,27,0.5,7,0,15,28,-0.5,4,1,6,8,0.5,19,4,18,14,-0.5,0,19,0,13,0.5,0,26,1,1,0.5,18,29,13,14,0.5,7,1,19,10
