episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y
42,0.25,42,56.0,56.0,55.0,14.0,28.0,0.0,15.0,34.0,33.0,17,29,7,6,34.0,33.0,17,0,10,22,25.0,24.0,19,20,6,9,23.0,22.0,0,24,1,3,33.0,32.0,19,2,1,14,,,,,,
43,0.0625,42,42.0,6.0,5.0,17.0,14.0,19.0,11.0,28.0,27.0,6,0,10,23,29.0,28.0,5,29,1,7,34.0,33.0,19,12,1,5,30.0,29.0,1,2,3,29,42.0,41.0,19,10,10,18,,,,,,
44,60.03125,42,,,,,,,,,,1,5,0,12,,,7,2,1,14,,,0,26,1,9,,,9,1,17,22,,,0,4,6,26,,,13.0,22.0,10.0,21.0
45,60.03125,42,,,,,,,,,,8,0,19,26,,,12,22,7,13,,,16,22,14,15,,,6,18,19,1,,,17,15,16,14,,,6.0,0.0,18.0,1.0
46,0.015625,42,35.0,33.0,32.0,9.0,0.0,1.0,22.0,20.0,19.0,0,9,1,27,10.0,9.0,7,10,11,15,35.0,34.0,1,11,10,16,15.0,14.0,19,4,19,18,17.0,16.0,1,24,6,23,,,,,,
47,0.015625,42,41.0,21.0,20.0,3.0,1.0,19.0,5.0,13.0,12.0,0,11,0,23,21.0,20.0,0,1,0,21,21.0,20.0,6,13,17,22,41.0,40.0,19,13,0,24,22.0,21.0,8,1,6,20,,,,,,
48,60.078125,42,,,,,,,,,,19,12,19,7,,,12,29,1,24,,,0,22,19,25,,,17,28,6,1,,,18,0,10,18,,,16.0,22.0,15.0,29.0
49,0.328125,42,33.0,22.0,21.0,10.0,29.0,17.0,15.0,22.0,21.0,11,15,9,0,31.0,30.0,10,27,6,1,23.0,22.0,15,29,7,15,28.0,27.0,14,22,19,22,33.0,32.0,1,0,18,15,,,,,,
50,60.03125,42,,,,,,,,,,17,22,1,27,,,7,3,2,1,,,16,0,0,13,,,6,16,1,2,,,12,29,6,27,,,11.0,14.0,7.0,7.0
51,60.015625,42,,,,,,,,,,1,7,7,13,,,6,23,6,11,,,10,24,14,15,,,1,23,6,2,,,6,5,6,27,,,6.0,12.0,6.0,14.0
52,60.03125,42,,,,,,,,,,1,11,12,14,,,12,29,19,10,,,1,23,18,14,,,4,1,7,8,,,16,14,15,22,,,19.0,18.0,6.0,3.0
53,0.1875,42,40.0,24.0,23.0,7.0,3.0,1.0,16.0,40.0,39.0,9,0,16,28,30.0,29.0,19,20,10,0,27.0,26.0,18,1,8,15,14.0,13.0,7,10,15,15,39.0,38.0,11,28,11,0,,,,,,
54,0.03125,42,45.0,45.0,44.0,0.0,16.0,10.0,22.0,39.0,38.0,3,29,13,1,28.0,27.0,1,10,7,13,20.0,19.0,14,15,18,28,37.0,36.0,0,8,19,11,17.0,16.0,1,16,1,0,,,,,,
55,60.03125,42,,,,,,,,,,19,19,10,19,,,10,26,0,19,,,11,1,8,1,,,0,21,19,15,,,10,28,14,0,,,14.0,1.0,1.0,1.0
56,0.03125,42,54.0,24.0,23.0,19.0,20.0,16.0,0.0,54.0,53.0,1,8,19,29,20.0,19.0,16,22,16,15,21.0,20.0,6,21,19,14,18.0,17.0,10,21,19,17,16.0,15.0,6,29,0,20,,,,,,
57,60.03125,42,,,,,,,,,,1,28,10,27,,,14,0,1,8,,,10,21,1,9,,,0,11,0,29,,,0,21,10,15,,,8.0,1.0,0.0,1.0
58,60.03125,42,,,,,,,,,,10,17,15,14,,,7,6,19,11,,,7,4,16,22,,,12,22,8,0,,,8,1,7,10,,,14.0,1.0,1.0,23.0
59,0.625,42,66.0,36.0,35.0,10.0,23.0,0.0,26.0,15.0,14.0,1,1,14,0,44.0,43.0,19,14,0,20,21.0,20.0,18,0,7,9,66.0,65.0,0,27,11,29,4.0,3.0,16,0,14,1,,,,,,
60,60.0625,42,,,,,,,,,,6,23,6,4,,,19,12,14,22,,,15,28,19,6,,,1,17,17,1,,,12,14,15,14,,,14.0,14.0,11.0,1.0
61,0.046875,42,41.0,7.0,6.0,2.0,1.0,1.0,6.0,10.0,9.0,16,15,19,21,18.0,17.0,6,11,1,3,41.0,40.0,8,15,0,19,29.0,28.0,6,0,19,15,34.0,33.0,5,29,10,1,,,,,,
62,0.203125,42,44.0,33.0,32.0,6.0,28.0,10.0,0.0,9.0,8.0,14,15,19,18,14.0,13.0,6,15,19,15,26.0,25.0,0,29,6,10,25.0,24.0,14,14,15,29,44.0,43.0,1,10,10,26,,,,,,
63,60.046875,42,,,,,,,,,,7,7,13,29,,,1,2,18,0,,,6,14,19,18,,,11,28,6,25,,,19,26,0,27,,,0.0,1.0,2.0,29.0
64,0.03125,42,38.0,34.0,33.0,18.0,1.0,10.0,20.0,27.0,26.0,19,2,0,7,38.0,37.0,11,1,12,29,26.0,25.0,0,28,9,14,26.0,25.0,0,27,0,2,34.0,33.0,7,7,0,21,,,,,,
