episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
34,43.515625,42,31.0,16.0,15.0,9.0,7.0,0.0,13.0,20.0,6.0,0,10,5,9,4.0,3.0,7,9,4,9,31.0,14.0,9,2,3,4,19.0,18.0,1,19,0,2,,,,,,
35,0.296875,42,16.0,16.0,15.0,7.0,19.0,9.0,6.0,8.0,7.0,3,6,0,10,13.0,12.0,6,12,7,1,11.0,10.0,3,15,7,9,2.0,1.0,3,11,3,12,,,,,,
36,2.46875,42,27.0,18.0,17.0,2.0,18.0,0.0,3.0,18.0,16.0,0,0,0,14,15.0,14.0,9,12,0,7,14.0,13.0,9,13,9,0,27.0,17.0,2,1,9,7,,,,,,
37,0.1875,42,9.0,9.0,8.0,0.0,17.0,6.0,19.0,7.0,6.0,7,9,9,5,7.0,6.0,1,0,0,5,4.0,3.0,3,10,1,9,9.0,8.0,6,5,3,0,,,,,,
38,1.828125,42,37.0,18.0,17.0,3.0,3.0,4.0,19.0,37.0,25.0,9,19,5,0,24.0,23.0,8,0,3,18,15.0,14.0,3,5,0,16,5.0,4.0,9,16,9,12,,,,,,
39,42.703125,42,42.0,2.0,1.0,0.0,1.0,0.0,2.0,42.0,27.0,1,0,6,14,32.0,27.0,2,0,9,16,34.0,21.0,3,0,0,14,22.0,18.0,0,15,3,2,,,,,,
40,52.296875,42,29.0,19.0,18.0,5.0,0.0,3.0,16.0,10.0,9.0,9,11,1,10,27.0,21.0,6,16,9,4,29.0,11.0,7,18,8,10,20.0,9.0,6,3,0,2,,,,,,
41,52.515625,42,16.0,4.0,3.0,6.0,18.0,3.0,18.0,11.0,9.0,0,9,0,14,2.0,1.0,7,1,6,1,10.0,9.0,8,19,9,11,16.0,12.0,0,15,3,14,,,,,,
42,60.171875,42,,,,,,,,,,9,16,6,12,,,3,2,3,4,,,0,15,9,14,,,4,18,5,9,,,5.0,0.0,3.0,1.0
43,30.828125,42,22.0,19.0,18.0,9.0,15.0,6.0,0.0,22.0,19.0,9,11,0,17,13.0,12.0,4,19,6,9,11.0,10.0,0,2,9,1,18.0,17.0,6,5,0,12,,,,,,
44,5.390625,42,26.0,26.0,10.0,6.0,19.0,9.0,16.0,4.0,3.0,0,16,0,19,6.0,5.0,7,9,6,5,20.0,19.0,3,16,1,1,22.0,21.0,0,0,9,12,,,,,,
45,1.0,42,20.0,2.0,1.0,7.0,1.0,8.0,1.0,10.0,9.0,8,10,9,2,20.0,19.0,3,18,0,2,6.0,5.0,4,9,6,12,15.0,13.0,6,9,0,12,,,,,,
46,0.71875,42,17.0,3.0,2.0,3.0,1.0,2.0,0.0,13.0,12.0,9,0,3,6,4.0,3.0,2,10,5,10,17.0,12.0,8,9,7,18,8.0,7.0,4,1,6,6,,,,,,
