episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y
13,0.0625,42,22,16,15,6,13,8,0,12,11,4,9,6,0,22,20,6,17,4,1,3,2,3,0,5,0
14,0.234375,42,25,19,18,6,1,0,13,18,17,0,4,3,18,25,19,0,16,6,13,23,8,2,9,6,11
15,0.0625,42,17,13,12,4,9,7,18,17,6,9,3,6,2,9,8,6,1,6,9,16,15,0,9,6,0
16,2.109375,42,23,23,19,0,10,6,5,10,9,6,0,0,3,9,8,8,9,3,8,16,15,3,3,3,18
17,0.390625,42,27,3,2,9,17,9,19,27,26,1,18,9,2,8,7,3,0,0,4,20,17,3,15,2,1
18,0.328125,42,22,11,10,8,19,9,10,20,9,0,6,3,2,22,21,9,3,3,18,16,15,3,0,6,12
19,3.046875,42,22,15,14,0,14,9,19,14,13,6,0,6,13,22,21,5,0,3,15,22,21,8,0,3,16
20,0.078125,42,27,25,24,8,18,0,2,27,14,3,5,0,12,10,9,0,19,0,10,18,17,3,6,7,19
21,0.09375,42,25,15,14,6,19,9,8,25,19,6,16,5,0,17,16,4,1,9,12,2,1,0,18,0,17
22,0.875,42,31,9,8,4,19,3,12,20,19,6,16,2,1,19,17,3,19,3,2,31,16,0,19,6,15
23,0.484375,42,18,8,7,6,9,0,10,18,8,6,6,3,7,8,7,3,9,0,13,12,11,9,15,3,10
24,0.84375,42,17,17,16,9,9,2,18,5,4,4,19,7,18,14,8,6,17,9,16,6,5,4,1,8,0
25,0.0625,42,23,23,22,2,18,7,1,5,4,6,19,2,19,17,16,8,1,0,9,16,15,4,0,0,11
26,0.0625,42,15,15,7,3,19,6,17,11,10,9,8,1,10,12,11,0,14,6,19,5,4,4,0,3,3
27,1.40625,42,31,26,15,8,10,4,1,31,7,6,3,9,3,23,22,5,19,0,2,29,22,1,0,7,10
28,0.078125,42,24,18,17,4,19,3,3,12,11,6,19,6,8,21,20,6,12,0,16,24,22,3,18,6,3
29,0.21875,42,14,8,7,0,10,7,10,14,12,6,11,3,16,10,9,6,8,8,1,6,5,0,9,0,4
30,0.34375,42,19,18,17,1,0,6,12,8,7,4,19,0,16,19,18,1,1,6,14,9,8,3,6,0,11
31,0.234375,42,23,5,4,1,0,3,2,15,12,6,4,9,11,11,10,8,9,9,18,23,22,0,19,6,3
32,0.578125,42,25,18,17,3,19,3,2,22,11,3,8,0,2,17,16,6,7,0,17,25,20,6,4,9,15
33,0.546875,42,28,15,14,3,16,0,7,6,5,4,10,0,9,28,14,4,9,2,19,28,24,8,0,4,18
34,0.1875,42,26,15,13,6,13,0,18,26,24,4,18,6,2,4,3,3,19,5,18,9,8,9,12,4,9
35,0.15625,42,23,23,14,8,10,5,19,13,12,2,18,5,9,13,12,9,14,9,2,19,18,3,6,3,18
36,0.359375,42,24,4,3,3,1,0,1,24,18,0,2,9,7,11,10,3,10,5,18,12,11,8,19,0,16
37,0.046875,42,20,18,17,3,3,6,13,20,19,6,0,0,13,5,4,3,4,3,0,6,5,0,12,2,9
38,0.046875,42,20,11,10,6,12,3,5,20,19,7,0,0,12,9,8,9,12,6,7,12,11,7,19,9,10
39,1.34375,42,25,25,14,9,17,0,16,5,4,2,0,6,0,22,21,2,1,5,19,13,12,0,4,3,11
40,1.484375,42,25,25,24,3,3,9,15,11,10,9,0,3,4,21,14,4,1,1,10,6,5,8,10,9,14
41,0.140625,42,25,4,3,6,9,9,9,25,12,3,1,2,10,15,14,6,8,9,19,16,15,5,1,9,12
42,2.796875,42,24,5,4,1,0,3,2,5,4,0,19,3,18,15,14,5,10,9,16,24,23,0,5,9,19
43,1.203125,42,29,25,24,0,17,9,2,29,22,9,7,1,19,4,3,0,10,0,13,3,2,7,9,5,9
44,0.4375,42,28,5,4,4,9,3,6,22,13,3,4,6,12,28,22,0,2,3,15,13,12,7,19,3,11
45,0.03125,42,13,13,12,9,6,3,12,11,10,0,10,2,18,9,8,7,1,0,0,6,5,7,9,9,12
46,1.453125,42,26,18,17,9,13,0,7,9,8,2,1,9,0,26,17,0,3,9,7,4,3,0,14,0,17
47,2.640625,42,23,12,11,7,9,6,19,23,21,1,0,9,5,9,8,3,10,0,5,10,9,6,5,1,9
48,0.09375,42,20,6,5,3,0,3,5,20,19,3,3,9,16,6,5,9,19,4,19,4,3,8,0,5,0
49,0.234375,42,41,41,24,3,18,1,0,31,20,0,16,2,0,19,18,9,12,3,0,15,14,0,1,0,15
50,0.890625,42,26,11,5,0,2,3,2,19,17,6,14,5,0,6,5,9,16,9,11,26,12,0,14,6,16
51,0.046875,42,18,17,16,7,18,9,4,10,9,6,3,8,10,18,17,3,16,0,2,17,15,1,10,6,18
52,0.296875,42,31,16,14,0,9,3,18,26,22,7,1,0,14,21,20,8,19,6,1,31,15,0,15,9,11
53,0.203125,42,21,7,6,0,9,0,15,6,5,3,14,4,18,21,20,9,16,5,0,14,13,3,2,6,12
54,0.84375,42,24,24,23,3,4,9,15,4,3,9,14,9,11,15,13,5,9,4,19,5,4,3,1,0,2
55,0.0625,42,19,8,7,6,5,9,1,19,18,6,0,0,12,9,8,0,17,6,19,14,13,6,9,0,16
56,0.53125,42,18,18,17,7,9,0,19,15,14,3,16,6,5,3,2,0,0,1,1,5,4,9,16,9,12
57,0.359375,42,23,10,9,7,1,6,9,21,11,8,10,8,1,23,22,3,18,9,2,12,11,4,9,0,2
58,0.046875,42,12,7,6,6,12,2,10,12,11,0,12,8,9,2,1,3,1,4,1,8,7,9,0,2,0
59,1.375,42,21,14,12,3,6,9,12,21,18,5,10,9,4,15,10,7,18,7,10,2,1,6,6,6,5
60,5.765625,42,23,17,16,3,1,9,11,3,2,3,15,3,17,12,10,0,13,6,11,23,16,3,11,9,15
61,0.28125,42,37,13,12,9,4,2,9,37,20,2,19,2,1,25,24,4,0,9,19,4,3,5,10,7,9
62,2.328125,42,31,6,5,9,1,9,6,20,19,8,18,0,7,11,10,9,15,4,10,31,20,0,12,6,4
63,3.1875,42,21,6,5,3,9,3,4,21,20,0,16,3,3,21,12,1,9,9,11,11,10,8,19,9,10
64,0.046875,42,23,16,15,9,10,3,1,4,3,6,5,6,2,3,2,0,19,0,17,23,22,0,18,4,0
65,0.15625,42,29,8,7,0,13,0,6,29,15,5,18,1,9,4,3,0,2,1,0,22,21,6,18,9,0
66,1.46875,42,21,21,20,0,6,6,14,13,12,3,17,8,10,13,12,6,4,3,13,6,5,5,1,9,0
67,1.671875,42,39,39,15,3,4,9,5,28,22,9,18,8,1,7,6,5,0,9,2,34,19,7,1,5,18
68,0.234375,42,34,25,6,0,5,2,1,25,23,4,19,2,0,34,11,1,1,2,9,7,6,9,7,6,10
69,2.828125,42,31,31,17,6,2,0,5,24,23,9,14,0,0,6,5,3,16,3,11,23,21,3,0,9,11
70,0.046875,42,15,14,13,5,9,9,0,15,14,9,7,0,12,6,5,0,11,0,6,8,7,0,10,3,14
71,0.109375,42,17,4,3,9,11,8,9,17,12,6,15,9,8,13,12,0,11,2,1,17,16,9,1,9,17
72,0.0625,42,9,9,8,3,5,6,8,3,2,8,10,6,10,5,4,6,3,6,7,3,2,8,0,7,1
73,0.203125,42,24,20,19,0,15,5,1,5,4,8,19,9,16,24,23,5,18,9,3,12,11,3,5,9,0
74,0.203125,42,24,12,11,4,1,6,10,24,17,8,0,2,9,8,7,3,12,2,18,15,14,6,15,0,7
75,0.21875,42,28,18,15,0,16,3,16,28,25,3,18,6,6,23,14,4,10,2,0,21,19,0,19,3,7
76,2.109375,42,20,9,8,3,10,3,18,15,14,5,0,3,12,7,6,7,1,1,1,20,19,3,5,6,15
77,0.34375,42,17,17,16,2,1,6,13,16,14,3,2,9,10,4,3,8,1,9,3,10,9,9,14,4,10
78,0.265625,42,30,7,6,7,19,9,15,16,12,3,6,9,2,30,21,4,1,4,18,9,8,5,18,6,11
79,0.046875,42,15,15,14,1,10,7,18,4,3,8,10,6,9,15,14,6,0,0,8,12,11,5,10,3,1
80,0.21875,42,26,18,16,1,0,6,5,17,16,7,1,6,16,10,9,0,4,5,0,26,19,1,10,9,3
81,0.015625,42,10,5,4,9,10,6,9,5,4,0,15,0,11,10,9,9,14,6,8,9,8,6,7,7,0
82,0.1875,42,24,20,16,6,3,6,19,7,6,0,9,0,15,24,16,5,9,9,15,17,16,9,12,0,19
83,5.828125,42,26,20,11,8,9,8,0,12,10,3,15,9,19,12,11,6,4,9,12,26,18,3,19,9,13
84,0.046875,42,16,6,5,0,10,0,5,4,3,2,10,0,11,16,13,6,19,5,9,4,3,6,4,6,7
85,6.234375,42,36,26,25,0,19,6,2,10,9,0,15,4,10,27,12,6,1,4,9,36,28,0,0,6,14
86,0.375,42,42,4,3,5,9,8,9,42,24,7,0,4,19,23,22,7,18,2,1,9,8,9,10,6,5
87,0.046875,42,24,24,23,0,16,8,1,11,10,9,12,6,19,18,17,9,2,0,10,18,17,0,13,4,18
88,1.765625,42,27,14,12,6,12,7,19,27,26,7,0,1,18,19,12,3,16,6,13,11,10,9,10,3,6
89,1.0625,42,24,10,9,7,1,6,9,24,22,9,8,2,19,22,11,8,18,8,9,13,12,7,18,3,10
90,0.46875,42,36,21,12,5,10,0,17,10,9,3,4,0,10,36,27,0,18,9,12,21,20,9,15,6,0
91,4.421875,42,34,23,22,3,18,7,0,8,7,7,1,1,0,16,15,3,12,6,0,34,17,0,14,9,14
92,0.046875,42,17,8,7,9,12,4,10,11,10,3,9,0,16,17,16,8,0,3,11,5,4,6,7,6,11
93,0.75,42,26,5,4,9,18,9,14,26,24,0,0,3,17,13,12,6,19,0,13,25,24,9,2,2,19
94,3.890625,42,29,16,15,9,2,4,10,21,10,9,5,6,4,13,12,6,9,0,3,29,13,0,14,6,15
95,0.125,42,27,2,1,5,19,6,19,27,26,0,1,8,19,11,10,0,11,3,18,4,3,4,0,3,2
96,0.078125,42,25,25,24,9,16,0,1,7,5,4,1,3,3,6,5,3,4,5,1,16,15,3,19,9,10
97,1.015625,42,36,17,16,7,1,3,13,21,20,8,0,9,19,20,19,5,19,0,5,36,24,0,12,9,5
98,0.078125,42,23,23,22,6,15,0,5,23,21,3,0,0,12,16,15,8,0,6,13,19,18,9,1,9,19
99,2.40625,42,25,15,14,0,2,6,8,16,11,6,13,0,10,25,17,0,15,6,14,12,8,6,11,9,8
100,0.21875,42,19,10,9,9,4,4,0,14,13,0,3,0,16,19,17,2,9,9,3,8,7,2,1,8,0
