episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
43,61.703125,42,,,,7,0,8,9,,,3,6,3,10,,,7,1,5,10,,,9,8,3,4,,,8,18,0,18,,,7,18,9,15,,,6,9,0,17,,,2.0,19.0,0.0,10.0,,,,,,
44,60.328125,42,,,,9,12,9,14,,,6,0,3,9,,,3,18,8,0,,,7,1,6,7,,,3,12,4,10,,,0,14,0,16,,,7,0,3,11,,,1.0,0.0,6.0,11.0,,,,,,
45,60.890625,42,,,,9,18,9,5,,,0,0,6,9,,,6,19,0,14,,,9,2,4,10,,,9,14,6,4,,,3,17,0,3,,,0,13,6,15,,,2.0,19.0,5.0,19.0,,,,,,
46,60.859375,42,,,,0,1,4,1,,,0,11,3,4,,,4,0,3,19,,,6,19,3,3,,,8,19,5,1,,,3,18,9,10,,,3,2,7,1,,,9.0,16.0,8.0,0.0,,,,,,
47,61.734375,42,,,,5,19,8,0,,,0,12,9,1,,,3,13,6,13,,,9,19,0,2,,,0,5,0,15,,,9,5,6,11,,,6,15,6,8,,,3.0,0.0,0.0,10.0,,,,,,
48,62.609375,42,,,,6,14,9,3,,,9,8,8,0,,,9,4,8,10,,,0,3,1,9,,,2,9,0,1,,,2,1,9,9,,,4,0,3,1,,,0.0,16.0,6.0,12.0,,,,,,
49,61.625,42,,,,9,9,8,9,,,0,4,9,15,,,0,0,2,1,,,0,18,3,1,,,0,5,9,2,,,8,19,2,9,,,6,6,0,6,,,9.0,17.0,6.0,13.0,,,,,,
50,61.640625,42,,,,8,9,9,1,,,9,16,3,19,,,9,11,0,4,,,0,13,4,0,,,7,19,1,10,,,9,2,0,14,,,6,16,5,0,,,8.0,19.0,5.0,18.0,,,,,,
51,63.515625,42,,,,7,9,7,1,,,5,19,0,6,,,6,9,1,9,,,0,9,0,1,,,9,2,2,19,,,4,0,0,11,,,0,18,6,18,,,8.0,18.0,5.0,9.0,,,,,,
52,61.875,42,,,,9,17,0,4,,,7,9,1,19,,,6,6,9,6,,,5,1,4,1,,,0,6,6,18,,,0,8,3,15,,,6,7,1,0,,,0.0,0.0,3.0,11.0,,,,,,
53,62.109375,42,,,,0,10,8,0,,,7,19,2,10,,,1,1,6,9,,,3,11,9,5,,,9,17,6,2,,,6,4,3,19,,,4,1,0,16,,,5.0,18.0,2.0,9.0,,,,,,
54,61.796875,42,,,,9,13,3,19,,,5,18,0,18,,,3,2,0,17,,,3,16,4,1,,,6,3,5,0,,,6,17,6,16,,,2,10,3,14,,,6.0,11.0,9.0,9.0,,,,,,
55,61.125,42,,,,4,10,6,7,,,0,15,3,17,,,0,13,8,1,,,9,16,6,6,,,9,13,3,14,,,3,0,6,9,,,0,10,3,15,,,3.0,3.0,0.0,17.0,,,,,,
56,61.3125,42,,,,3,15,0,4,,,9,1,3,2,,,1,19,3,16,,,9,14,4,10,,,6,4,4,9,,,6,5,0,17,,,3,4,2,0,,,9.0,10.0,0.0,11.0,,,,,,
57,60.765625,42,,,,6,2,3,4,,,3,8,2,9,,,6,1,8,1,,,6,4,3,7,,,6,17,1,9,,,5,19,3,18,,,6,11,5,10,,,6.0,7.0,6.0,8.0,,,,,,
58,61.1875,42,,,,5,10,0,14,,,3,9,9,10,,,9,15,9,2,,,5,1,5,0,,,8,10,5,9,,,7,1,2,19,,,6,0,8,9,,,9.0,6.0,2.0,9.0,,,,,,
59,60.953125,42,,,,3,4,0,8,,,5,9,9,4,,,9,1,8,19,,,3,12,0,9,,,4,19,3,0,,,0,4,6,1,,,0,13,3,6,,,0.0,6.0,4.0,18.0,,,,,,
60,61.546875,42,,,,1,0,8,19,,,7,0,6,17,,,3,4,9,3,,,0,7,3,16,,,7,9,3,11,,,9,8,6,18,,,0,1,0,17,,,3.0,18.0,2.0,1.0,,,,,,
61,60.25,42,,,,6,5,4,0,,,6,13,7,19,,,0,13,3,17,,,5,0,3,4,,,3,10,6,15,,,9,15,0,16,,,0,8,6,17,,,9.0,19.0,7.0,10.0,,,,,,
62,60.8125,42,,,,3,12,5,9,,,9,11,4,9,,,6,10,0,18,,,3,6,6,18,,,0,1,0,19,,,6,14,3,16,,,1,18,9,1,,,7.0,10.0,9.0,10.0,,,,,,
63,60.46875,42,,,,9,18,5,0,,,9,15,3,19,,,6,0,3,13,,,1,10,3,6,,,9,1,0,9,,,8,9,9,0,,,6,11,7,10,,,0.0,16.0,0.0,4.0,,,,,,
64,62.015625,42,,,,3,18,9,9,,,4,10,9,13,,,4,9,0,5,,,9,10,6,9,,,0,17,2,1,,,3,3,1,9,,,1,0,3,1,,,2.0,9.0,4.0,18.0,,,,,,
65,61.0,42,,,,9,19,9,1,,,6,4,9,3,,,6,19,6,9,,,4,19,6,0,,,0,1,6,11,,,0,9,3,15,,,2,19,6,13,,,2.0,9.0,8.0,9.0,,,,,,
66,60.75,42,,,,7,18,3,7,,,6,7,9,12,,,0,6,9,1,,,7,0,3,6,,,3,10,4,10,,,7,9,5,10,,,5,18,7,19,,,9.0,6.0,6.0,15.0,,,,,,
67,40.953125,42,17.0,4.0,3.0,3,10,3,7,5.0,4.0,5,0,6,3,4.0,3.0,3,17,4,19,6.0,5.0,9,9,5,10,5.0,4.0,3,3,5,1,15.0,14.0,6,4,0,12,12.0,11.0,0,13,0,2,,,,,,,17.0,16.0,9.0,2.0,3.0,12.0
68,60.859375,42,,,,3,14,3,7,,,9,19,3,4,,,9,10,1,9,,,6,8,2,18,,,6,9,0,2,,,3,13,6,6,,,1,0,9,11,,,0.0,0.0,6.0,16.0,,,,,,
69,62.40625,42,,,,3,19,0,19,,,3,16,6,17,,,3,3,5,9,,,0,16,6,9,,,6,5,6,18,,,6,1,9,17,,,0,0,8,10,,,3.0,0.0,6.0,7.0,,,,,,
70,60.46875,42,,,,9,5,3,1,,,4,10,9,15,,,9,18,6,8,,,7,18,8,0,,,6,11,4,1,,,9,8,9,4,,,5,1,0,8,,,6.0,19.0,0.0,13.0,,,,,,
71,62.21875,42,,,,5,0,9,16,,,7,0,0,12,,,8,10,9,18,,,3,19,0,17,,,6,11,3,1,,,6,0,8,19,,,9,15,7,1,,,3.0,16.0,7.0,9.0,,,,,,
72,61.59375,42,,,,6,9,9,15,,,3,8,4,18,,,0,0,9,5,,,0,14,9,18,,,3,2,9,3,,,0,4,4,1,,,5,0,3,5,,,8.0,0.0,9.0,17.0,,,,,,
73,60.859375,42,,,,2,9,5,18,,,3,15,8,10,,,0,8,2,18,,,8,9,9,11,,,6,11,3,19,,,0,9,8,19,,,1,19,2,1,,,6.0,0.0,0.0,4.0,,,,,,
74,61.65625,42,,,,0,6,7,18,,,3,11,6,18,,,9,14,6,12,,,0,5,7,19,,,3,10,0,0,,,0,12,9,4,,,9,12,7,1,,,6.0,14.0,3.0,13.0,,,,,,
75,62.328125,42,,,,8,9,3,19,,,3,12,0,0,,,0,5,9,14,,,9,9,5,1,,,2,1,2,18,,,0,11,6,14,,,6,8,5,10,,,9.0,3.0,0.0,3.0,,,,,,
76,60.5625,42,,,,7,18,3,16,,,3,14,9,2,,,6,17,5,9,,,9,7,3,8,,,6,6,8,0,,,6,13,9,8,,,2,10,3,2,,,2.0,1.0,6.0,18.0,,,,,,
77,62.296875,42,,,,6,4,1,1,,,4,0,6,14,,,3,14,0,9,,,0,13,3,7,,,2,19,6,19,,,5,19,3,17,,,9,6,8,10,,,9.0,4.0,5.0,10.0,,,,,,
78,60.328125,42,,,,9,19,6,2,,,6,10,1,1,,,3,2,9,3,,,7,19,6,17,,,3,15,7,1,,,5,10,6,5,,,0,15,0,6,,,0.0,13.0,3.0,13.0,,,,,,
79,61.46875,42,,,,4,19,0,7,,,9,10,3,8,,,1,19,1,10,,,3,7,6,0,,,0,15,0,2,,,0,11,3,3,,,3,10,4,0,,,0.0,9.0,9.0,15.0,,,,,,
80,62.859375,42,,,,6,9,5,18,,,9,6,9,17,,,3,7,3,1,,,4,0,3,8,,,3,16,9,8,,,9,15,3,12,,,7,10,2,1,,,5.0,0.0,6.0,1.0,,,,,,
81,61.203125,42,,,,3,5,6,4,,,9,7,6,7,,,9,9,6,11,,,3,3,0,2,,,5,10,3,2,,,9,18,9,3,,,7,9,2,1,,,1.0,19.0,1.0,0.0,,,,,,
