episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
30,60.03125,42,,,,9,7,9,1,,,0,11,8,9,,,0,10,9,8,,,9,0,2,1,,,0,12,9,17,,,0,6,3,5,,,3,14,8,10,,,9,11,6,3,,,6.0,15.0,8.0,0.0,,,,,,
31,0.0,42,15.0,10.0,9.0,6,10,9,16,12.0,11.0,6,7,9,3,2.0,1.0,8,0,9,0,4.0,3.0,7,1,4,1,11.0,10.0,0,15,3,12,7.0,6.0,8,19,6,15,15.0,14.0,5,18,2,9,15.0,14.0,3,5,2,18,,,,,,,9.0,8.0,6.0,8.0,5.0,1.0
32,60.03125,42,,,,0,7,3,10,,,0,16,5,0,,,3,18,7,1,,,4,10,3,5,,,0,19,3,12,,,3,16,1,1,,,6,6,6,15,,,2,0,2,1,,,3.0,7.0,3.0,2.0,,,,,,
33,60.046875,42,,,,8,1,5,18,,,9,14,9,15,,,6,13,9,2,,,9,10,4,18,,,9,3,6,11,,,4,10,1,10,,,7,19,8,10,,,3,6,6,0,,,4.0,1.0,5.0,10.0,,,,,,
34,60.03125,42,,,,7,18,6,16,,,6,9,5,0,,,0,8,9,3,,,3,1,9,10,,,1,0,0,15,,,7,1,9,14,,,0,4,6,7,,,1,10,0,11,,,6.0,5.0,6.0,8.0,,,,,,
35,0.03125,42,18.0,16.0,15.0,6,3,3,15,18.0,17.0,0,9,6,4,13.0,12.0,5,9,3,19,14.0,13.0,9,12,8,0,4.0,3.0,6,19,9,19,18.0,17.0,0,15,9,13,17.0,16.0,9,15,0,10,12.0,11.0,0,19,2,10,,,,,,,13.0,12.0,7.0,0.0,8.0,9.0
36,60.015625,42,,,,6,19,0,0,,,6,4,6,2,,,0,5,4,10,,,0,11,4,9,,,5,9,6,14,,,6,7,7,0,,,0,19,7,18,,,0,15,9,10,,,6.0,1.0,8.0,9.0,,,,,,
37,60.015625,42,,,,5,9,6,19,,,4,19,0,10,,,2,1,4,18,,,6,5,6,12,,,0,16,7,0,,,9,12,3,16,,,9,2,9,10,,,0,13,7,19,,,8.0,1.0,1.0,18.0,,,,,,
38,60.03125,42,,,,6,13,8,9,,,7,0,3,10,,,3,6,5,10,,,7,1,3,4,,,9,8,0,18,,,8,18,9,15,,,7,18,0,17,,,6,9,0,10,,,2.0,19.0,9.0,12.0,,,,,,
39,60.015625,42,,,,6,0,3,9,,,3,18,8,0,,,7,1,6,7,,,3,12,4,10,,,0,14,0,16,,,7,0,3,11,,,1,0,6,11,,,9,14,9,18,,,9.0,12.0,0.0,0.0,,,,,,
40,60.046875,42,,,,6,19,4,10,,,9,2,6,4,,,9,14,0,3,,,3,17,6,15,,,0,13,5,19,,,2,19,0,1,,,9,5,0,11,,,6,9,4,0,,,0.0,14.0,8.0,19.0,,,,,,
41,60.03125,42,,,,3,18,9,10,,,3,2,7,1,,,9,16,8,0,,,4,1,5,19,,,3,4,0,12,,,3,19,3,13,,,0,1,9,19,,,3,3,0,5,,,5.0,1.0,9.0,5.0,,,,,,
