episode,cpu_time,seed,total_reward,timesteps,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y
21,5.671875,42,3.0,100,0.5,5,29,1,3,-0.5,0,18,8,1,0.5,6,19,3,29,0.5,1,0,7,12,0.5,12,0,10,1,0.5,4,29,19,12,0.5,7,9,0,5,-0.5,19,13,19,19,0.5,19,23,19,20,0.5,7,14,10,22
22,5.71875,42,2.0,100,0.5,1,8,0,4,0.5,17,29,1,11,0.5,0,24,19,14,0.5,14,29,6,26,-1.0,19,22,18,0,0.5,1,2,16,28,0.5,6,23,7,5,0.5,11,1,10,22,0.5,14,0,14,22,-1.0,0,1,16,0
23,3.984375,42,15.0,69,1.5,8,15,19,13,1.5,0,24,10,24,1.5,3,29,19,14,1.5,16,15,4,0,1.5,6,4,6,13,1.5,1,27,15,0,1.5,7,4,6,22,1.5,12,0,15,15,1.5,17,15,18,29,1.5,1,23,0,27
24,5.6875,42,3.5,100,0.5,2,1,7,6,-1.0,0,26,19,28,0.5,11,28,14,28,0.5,2,29,19,20,0.5,1,26,0,15,0.5,18,29,17,0,0.5,7,1,0,24,0.5,6,25,1,24,0.5,19,21,17,29,0.5,8,15,19,2
25,5.65625,42,2.5,100,0.5,19,10,0,4,0.5,6,9,10,23,-1.0,1,3,1,7,0.5,6,0,10,18,0.5,1,2,9,1,-0.5,17,14,3,29,0.5,5,29,7,2,0.5,10,22,19,11,0.5,1,14,1,5,0.5,19,12,0,26
26,5.71875,42,2.0,100,0.5,16,22,9,0,-0.5,0,12,17,15,0.5,1,14,6,0,0.5,6,26,14,15,0.5,12,22,18,1,0.5,17,22,7,13,-0.5,10,21,19,1,0.5,13,22,6,18,0.5,1,9,19,26,-0.5,8,0,16,14
27,5.21875,42,15.0,90,1.5,19,18,0,21,1.5,7,10,3,1,1.5,1,11,0,11,1.5,1,22,19,13,1.5,10,16,0,23,1.5,1,24,6,13,1.5,1,27,8,1,1.5,0,9,6,23,1.5,19,4,0,1,1.5,11,15,19,5
28,5.640625,42,-0.5,100,0.5,16,22,14,22,0.5,0,24,1,24,-1.0,0,11,19,25,-1.0,12,29,15,29,-0.5,18,0,10,27,0.5,19,12,10,18,-1.0,0,22,10,29,0.5,17,22,19,7,0.5,6,20,6,1,0.5,17,28,11,15
29,5.234375,42,15.0,84,1.5,16,0,1,7,1.5,17,15,12,29,1.5,9,0,11,14,1.5,19,22,0,13,1.5,7,3,7,7,1.5,7,15,2,1,1.5,18,15,1,2,1.5,1,0,6,16,1.5,6,1,1,27,1.5,17,22,6,27
30,3.453125,42,15.0,56,1.5,6,27,7,8,1.5,10,24,1,11,1.5,1,23,12,29,1.5,7,13,19,18,1.5,6,2,18,14,1.5,6,12,16,14,1.5,6,11,12,14,1.5,6,23,6,14,1.5,6,5,4,1,1.5,14,15,19,10
31,5.765625,42,15.0,95,1.5,16,28,10,22,1.5,6,3,8,15,1.5,7,3,15,15,1.5,18,1,3,29,1.5,1,16,0,8,1.5,19,20,0,16,1.5,7,10,1,10,1.5,15,22,10,0,1.5,9,0,11,0,1.5,11,28,14,15
32,5.875,42,3.0,100,0.5,10,28,16,22,0.5,7,13,10,19,0.5,18,28,0,19,0.5,19,19,14,0,0.5,0,21,1,8,-0.5,1,0,19,15,0.5,10,26,1,1,-0.5,13,1,14,1,0.5,19,11,8,1,0.5,11,1,19,20
33,5.96875,42,3.5,100,0.5,1,28,0,1,0.5,10,21,0,11,0.5,6,29,0,21,0.5,16,15,1,8,0.5,0,20,10,15,0.5,19,29,10,27,-1.0,19,14,1,9,0.5,6,21,14,0,0.5,16,0,8,1,0.5,19,17,0,29
34,4.078125,42,15.0,65,1.5,8,0,14,0,1.5,7,6,1,23,1.5,7,4,10,23,1.5,14,1,18,0,1.5,16,22,0,26,1.5,8,1,19,14,1.5,15,14,0,27,1.5,10,17,7,10,1.5,12,22,1,1,1.5,19,11,16,0
35,3.890625,42,15.0,65,1.5,14,14,8,15,1.5,7,9,14,22,1.5,11,29,19,6,1.5,19,12,11,1,1.5,12,14,6,11,1.5,6,23,15,14,1.5,15,28,2,1,1.5,0,20,6,4,1.5,14,1,17,1,1.5,1,17,16,15
36,3.515625,42,15.0,59,1.5,14,15,7,7,1.5,5,29,0,29,1.5,1,6,14,14,1.5,0,19,19,18,1.5,6,28,10,26,1.5,1,3,10,0,1.5,19,15,6,10,1.5,6,0,6,15,1.5,19,21,1,10,1.5,10,1,15,29
37,3.984375,42,15.0,66,1.5,0,27,9,14,1.5,6,14,18,1,1.5,11,28,19,2,1.5,13,29,7,7,1.5,6,25,12,29,1.5,0,1,0,28,1.5,18,0,10,20,1.5,1,2,2,29,1.5,19,26,11,1,1.5,19,18,0,7
38,5.890625,42,2.5,100,0.5,6,0,19,29,0.5,0,21,5,0,0.5,7,2,8,0,0.5,6,26,15,29,-0.5,7,3,6,17,0.5,17,15,14,22,0.5,4,1,9,14,0.5,0,2,6,29,0.5,14,0,19,11,-1.0,19,22,0,25
39,5.40625,42,15.0,93,1.5,19,29,1,26,1.5,19,2,1,1,1.5,12,28,11,22,1.5,17,28,12,22,1.5,12,1,0,6,1.5,15,29,0,20,1.5,0,9,19,6,1.5,0,10,0,5,1.5,3,29,10,28,1.5,0,24,18,28
40,5.8125,42,-2.5,100,0.5,4,0,19,21,-0.5,7,1,0,8,0.5,1,2,0,1,-0.5,16,29,17,1,-1.0,19,9,16,22,-1.0,15,28,0,11,0.5,1,15,10,24,0.5,1,25,11,29,-0.5,18,14,1,5,-1.0,0,3,19,25
41,5.96875,42,0.5,100,0.5,0,27,0,26,0.5,3,29,18,0,0.5,18,1,13,1,0.5,12,14,7,0,0.5,19,13,1,16,-1.0,0,13,17,28,0.5,16,22,0,9,-1.0,1,24,15,22,-1.0,1,26,17,1,0.5,19,22,7,2
42,3.375,42,15.0,56,1.5,7,0,8,1,1.5,13,1,17,0,1.5,7,13,14,15,1.5,9,15,0,3,1.5,18,1,13,22,1.5,14,28,1,14,1.5,11,0,2,29,1.5,0,28,1,5,1.5,9,1,0,12,1.5,0,19,0,22
43,5.890625,42,0.0,100,-0.5,1,20,6,14,0.5,14,29,7,3,-0.5,10,26,13,22,0.5,0,16,6,12,0.5,0,9,1,12,0.5,0,12,1,9,0.5,10,27,0,21,0.5,19,25,19,3,-1.0,7,14,6,22,-1.0,0,1,15,22
44,4.90625,42,15.0,84,1.5,7,0,6,29,1.5,10,21,1,26,1.5,7,3,19,17,1.5,1,28,6,23,1.5,10,17,11,22,1.5,16,0,5,0,1.5,11,1,10,18,1.5,19,25,1,3,1.5,9,14,9,1,1.5,19,0,13,14
45,5.84375,42,2.0,100,0.5,0,29,16,0,0.5,1,6,19,23,-0.5,1,3,1,0,0.5,13,0,0,21,0.5,7,6,6,25,-0.5,7,14,3,0,-0.5,6,20,5,0,0.5,19,16,0,27,0.5,7,3,19,18,0.5,19,10,10,26
46,5.8125,42,2.0,100,0.5,19,18,1,3,-0.5,6,19,10,23,0.5,11,1,6,0,0.5,1,5,4,29,0.5,1,19,7,6,0.5,6,22,0,8,0.5,6,21,6,23,-0.5,10,25,10,20,0.5,19,23,19,11,-0.5,17,29,7,7
47,3.40625,42,15.0,56,1.5,10,20,10,29,1.5,0,21,10,27,1.5,10,17,6,0,1.5,10,21,6,6,1.5,11,22,8,15,1.5,10,15,16,1,1.5,13,14,1,15,1.5,1,21,11,28,1.5,6,8,1,26,1.5,9,15,6,26
48,5.90625,42,3.0,100,0.5,19,11,17,28,0.5,6,10,7,13,0.5,19,21,14,14,0.5,14,15,16,22,-0.5,0,29,8,0,0.5,16,29,2,1,0.5,10,1,1,26,0.5,8,14,18,1,-0.5,7,15,8,1,0.5,19,3,6,0
49,5.734375,42,15.0,98,1.5,0,17,19,7,1.5,7,11,10,15,1.5,0,9,6,4,1.5,0,16,14,14,1.5,17,14,14,28,1.5,0,12,1,9,1.5,18,29,5,29,1.5,6,15,3,1,1.5,0,26,7,9,1.5,17,29,0,15
50,5.859375,42,1.5,100,0.5,1,24,7,0,-1.0,6,27,12,14,0.5,17,15,0,27,-0.5,6,23,7,12,0.5,1,5,19,28,-0.5,18,15,6,11,0.5,6,13,19,20,0.5,0,3,10,23,0.5,13,15,7,14,0.5,13,22,0,17
51,3.890625,42,15.0,65,1.5,11,14,6,23,1.5,6,25,0,2,1.5,5,29,12,15,1.5,13,15,8,14,1.5,19,12,13,22,1.5,1,2,15,1,1.5,15,0,7,4,1.5,15,22,6,4,1.5,12,29,1,17,1.5,6,16,1,7
52,5.984375,42,2.5,100,0.5,1,2,7,7,0.5,19,11,7,0,0.5,19,27,18,0,0.5,1,15,0,18,-1.0,11,28,6,27,0.5,10,1,6,3,0.5,17,29,15,0,0.5,17,28,7,13,-0.5,19,20,6,17,0.5,16,22,0,9
53,5.5625,42,15.0,95,1.5,11,0,2,1,1.5,19,11,1,14,1.5,1,4,4,0,1.5,1,25,10,20,1.5,0,10,0,19,1.5,1,11,19,28,1.5,19,8,14,0,1.5,7,5,1,23,1.5,5,1,7,10,1.5,19,16,0,3
54,4.03125,42,15.0,68,1.5,16,14,19,14,1.5,17,29,10,26,1.5,18,0,0,13,1.5,10,1,14,28,1.5,12,14,6,5,1.5,11,14,6,11,1.5,11,22,9,1,1.5,1,25,15,14,1.5,18,14,14,1,1.5,6,21,19,2
55,5.875,42,2.5,100,0.5,6,26,8,0,0.5,6,3,5,0,0.5,7,8,10,20,0.5,12,29,6,15,0.5,7,13,7,12,0.5,15,22,18,1,0.5,18,14,6,5,-1.0,18,0,19,9,0.5,8,15,0,27,-0.5,6,12,10,19
56,3.40625,42,15.0,57,1.5,6,5,1,2,1.5,0,5,1,13,1.5,6,19,1,29,1.5,11,0,13,0,1.5,0,1,5,1,1.5,19,11,19,13,1.5,6,17,7,0,1.5,0,24,6,0,1.5,19,29,10,25,1.5,1,10,6,24
57,5.71875,42,0.5,100,0.5,13,28,7,15,0.5,10,15,16,22,-0.5,0,1,10,28,-1.0,1,8,19,26,0.5,11,1,19,7,0.5,3,0,7,7,0.5,13,14,15,14,-0.5,10,23,19,25,0.5,6,23,19,2,-0.5,8,14,11,28
58,5.1875,42,15.0,89,1.5,7,14,19,26,1.5,3,29,16,29,1.5,19,21,6,28,1.5,7,3,11,28,1.5,0,26,0,24,1.5,16,0,10,0,1.5,18,29,6,23,1.5,14,0,14,14,1.5,10,28,11,22,1.5,0,16,19,23
