episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
12,60.171875,42,,,,12,14,0,18,,,11,28,15,15,,,7,5,10,17,,,18,14,11,1,,,10.0,15.0,10.0,0.0,,,,,,
13,60.140625,42,,,,0,20,0,7,,,10,14,6,7,,,16,15,6,28,,,5,0,19,26,,,10.0,24.0,1.0,19.0,,,,,,
14,60.234375,42,,,,3,0,1,23,,,6,21,17,14,,,19,28,0,13,,,18,14,3,1,,,0.0,7.0,19.0,11.0,,,,,,
15,17.203125,42,56.0,56.0,43.0,6,27,16,0,37.0,36.0,12,0,19,29,40.0,39.0,0,28,12,1,25.0,24.0,10,1,6,21,,,,,,,16.0,15.0,4.0,1.0,7.0,13.0
16,60.234375,42,,,,6,21,6,4,,,6,23,0,5,,,17,0,0,24,,,6,1,0,20,,,1.0,8.0,15.0,22.0,,,,,,
17,60.140625,42,,,,14,0,19,7,,,13,1,7,12,,,7,3,19,15,,,13,29,1,4,,,1.0,6.0,7.0,11.0,,,,,,
18,60.125,42,,,,13,1,1,24,,,7,11,5,0,,,7,0,12,28,,,1,8,11,0,,,6.0,15.0,10.0,25.0,,,,,,
19,60.15625,42,,,,6,10,6,5,,,19,20,19,21,,,0,20,6,11,,,6,6,19,9,,,0.0,27.0,7.0,11.0,,,,,,
20,60.125,42,,,,13,14,15,29,,,7,2,1,29,,,2,0,13,29,,,15,15,16,1,,,19.0,22.0,7.0,0.0,,,,,,
21,60.140625,42,,,,14,15,19,7,,,2,29,0,29,,,0,18,7,2,,,0,22,13,15,,,7.0,0.0,1.0,16.0,,,,,,
22,60.15625,42,,,,14,0,1,10,,,5,1,7,4,,,16,29,18,15,,,10,18,0,4,,,9.0,15.0,15.0,1.0,,,,,,
23,60.125,42,,,,7,10,10,29,,,13,29,1,2,,,12,0,10,19,,,6,26,0,21,,,5.0,1.0,11.0,22.0,,,,,,
24,60.171875,42,,,,10,29,0,9,,,0,19,1,11,,,15,1,7,11,,,6,23,1,13,,,16.0,1.0,6.0,3.0,,,,,,
25,60.3125,42,,,,12,0,10,20,,,1,3,16,14,,,12,22,1,9,,,0,23,4,29,,,1.0,10.0,19.0,12.0,,,,,,
26,60.140625,42,,,,19,27,10,21,,,10,19,4,1,,,7,0,0,5,,,6,7,1,4,,,10.0,26.0,19.0,20.0,,,,,,
27,60.125,42,,,,6,23,0,18,,,7,8,3,0,,,7,4,7,9,,,16,0,12,14,,,0.0,14.0,7.0,10.0,,,,,,
28,60.140625,42,,,,6,29,7,6,,,19,15,16,28,,,1,6,2,1,,,10,16,19,19,,,9.0,14.0,6.0,3.0,,,,,,
29,60.21875,42,,,,9,14,0,4,,,8,1,6,11,,,18,1,17,15,,,6,28,0,2,,,3.0,29.0,19.0,6.0,,,,,,
30,60.203125,42,,,,9,14,0,24,,,1,2,12,1,,,5,0,12,14,,,10,0,0,27,,,6.0,0.0,3.0,1.0,,,,,,
31,60.15625,42,,,,1,25,15,22,,,12,0,6,1,,,14,14,0,24,,,14,1,10,26,,,19.0,15.0,19.0,10.0,,,,,,
32,60.171875,42,,,,19,24,10,1,,,1,22,9,15,,,1,24,6,12,,,0,8,5,1,,,1.0,2.0,17.0,22.0,,,,,,
33,60.1875,42,,,,7,3,19,19,,,16,29,11,1,,,19,21,4,0,,,6,0,10,28,,,1.0,16.0,7.0,15.0,,,,,,
34,60.140625,42,,,,19,8,1,7,,,1,28,9,0,,,19,28,0,10,,,19,15,4,29,,,1.0,11.0,6.0,27.0,,,,,,
35,60.15625,42,,,,19,22,14,29,,,19,28,18,0,,,1,4,19,4,,,19,5,1,21,,,0.0,20.0,0.0,26.0,,,,,,
36,60.125,42,,,,8,0,6,4,,,7,5,12,0,,,6,0,6,21,,,0,5,6,13,,,15.0,22.0,19.0,3.0,,,,,,
37,35.421875,42,28.0,6.0,5.0,14,15,19,15,20.0,16.0,14,29,19,18,28.0,23.0,6,15,1,25,10.0,9.0,2,0,0,7,,,,,,,21.0,20.0,0.0,21.0,0.0,1.0
38,60.09375,42,,,,0,28,14,29,,,0,15,1,11,,,17,22,6,12,,,19,5,10,23,,,1.0,5.0,13.0,29.0,,,,,,
39,60.109375,42,,,,19,1,19,29,,,0,10,15,29,,,1,14,6,1,,,3,1,19,23,,,5.0,29.0,7.0,12.0,,,,,,
40,60.171875,42,,,,7,12,1,9,,,6,27,1,22,,,1,2,3,0,,,19,14,1,0,,,0.0,3.0,0.0,4.0,,,,,,
41,60.171875,42,,,,12,22,19,13,,,19,22,13,0,,,0,27,15,15,,,4,1,10,19,,,7.0,13.0,6.0,23.0,,,,,,
42,60.15625,42,,,,1,15,0,19,,,18,28,14,22,,,16,28,17,15,,,0,5,1,0,,,13.0,28.0,6.0,27.0,,,,,,
43,60.109375,42,,,,0,28,19,23,,,10,15,4,29,,,19,13,1,0,,,0,18,7,9,,,6.0,19.0,7.0,14.0,,,,,,
44,60.125,42,,,,12,0,19,20,,,5,29,19,12,,,19,19,7,12,,,8,1,0,5,,,3.0,29.0,10.0,22.0,,,,,,
45,60.15625,42,,,,10,1,14,0,,,1,3,1,2,,,11,1,14,29,,,17,29,6,23,,,0.0,24.0,0.0,1.0,,,,,,
46,60.109375,42,,,,19,22,14,22,,,1,8,16,28,,,10,22,6,26,,,1,11,7,5,,,19.0,14.0,11.0,1.0,,,,,,
47,58.421875,42,72.0,44.0,20.0,18,0,17,15,25.0,24.0,0,4,1,27,72.0,25.0,12,0,16,15,55.0,35.0,0,24,7,4,,,,,,,53.0,46.0,16.0,0.0,3.0,29.0
48,60.1875,42,,,,1,23,19,14,,,6,4,18,29,,,8,15,15,0,,,15,15,4,0,,,10.0,24.0,6.0,22.0,,,,,,
49,60.15625,42,,,,0,27,11,28,,,6,13,19,21,,,19,13,18,29,,,6,25,2,29,,,0.0,26.0,7.0,1.0,,,,,,
50,60.125,42,,,,8,15,14,28,,,1,26,17,29,,,2,1,17,0,,,1,24,19,20,,,19.0,28.0,0.0,24.0,,,,,,
51,5.703125,42,48.0,3.0,2.0,0,15,1,14,19.0,18.0,7,6,17,14,27.0,26.0,10,22,6,0,22.0,21.0,6,9,5,29,,,,,,,48.0,23.0,19.0,2.0,1.0,3.0
52,60.125,42,,,,19,12,1,7,,,1,2,1,5,,,19,10,3,29,,,19,11,10,18,,,10.0,23.0,7.0,2.0,,,,,,
53,60.140625,42,,,,0,26,1,14,,,9,1,1,9,,,0,4,17,22,,,13,22,6,26,,,0.0,12.0,10.0,21.0,,,,,,
54,9.4375,42,31.0,31.0,21.0,12,22,19,26,19.0,18.0,16,22,7,13,12.0,11.0,6,18,14,15,17.0,16.0,17,15,19,1,,,,,,,3.0,2.0,8.0,0.0,6.0,0.0
55,60.1875,42,,,,16,14,1,11,,,18,1,19,4,,,9,0,1,24,,,0,9,1,22,,,7.0,10.0,1.0,27.0,,,,,,
56,60.4375,42,,,,11,15,0,11,,,10,16,0,1,,,19,18,6,13,,,6,23,19,13,,,3.0,1.0,8.0,1.0,,,,,,
57,60.125,42,,,,19,5,0,11,,,0,23,6,20,,,0,21,19,12,,,17,22,12,29,,,0.0,24.0,0.0,22.0,,,,,,
58,60.09375,42,,,,17,28,19,25,,,18,0,6,1,,,16,22,10,18,,,19,7,15,29,,,1.0,24.0,10.0,29.0,,,,,,
59,60.25,42,,,,11,15,17,15,,,10,27,9,0,,,15,29,6,1,,,14,22,7,15,,,1.0,0.0,19.0,22.0,,,,,,
60,60.203125,42,,,,18,15,12,29,,,17,22,11,14,,,7,3,1,27,,,16,0,2,1,,,6.0,16.0,0.0,13.0,,,,,,
61,60.171875,42,,,,1,2,10,24,,,6,27,1,23,,,7,7,6,5,,,1,7,6,12,,,6.0,23.0,7.0,13.0,,,,,,
62,60.171875,42,,,,6,11,1,11,,,14,15,12,29,,,6,2,1,23,,,6,27,4,1,,,6.0,14.0,16.0,14.0,,,,,,
63,60.1875,42,,,,19,18,15,22,,,12,14,6,3,,,19,10,7,3,,,18,14,9,0,,,7.0,8.0,19.0,20.0,,,,,,
64,60.21875,42,,,,18,1,10,0,,,7,10,8,15,,,11,28,15,15,,,1,16,11,0,,,16.0,28.0,0.0,16.0,,,,,,
65,60.125,42,,,,3,29,10,22,,,1,10,13,1,,,14,15,7,13,,,0,8,18,28,,,1.0,16.0,19.0,11.0,,,,,,
66,60.1875,42,,,,1,0,10,28,,,19,19,14,1,,,10,26,10,19,,,11,1,0,19,,,0.0,21.0,8.0,1.0,,,,,,
67,60.171875,42,,,,19,15,16,22,,,14,0,6,21,,,1,1,10,21,,,19,20,6,29,,,1.0,8.0,16.0,0.0,,,,,,
68,60.125,42,,,,19,29,1,28,,,16,15,14,0,,,19,14,10,21,,,19,17,0,11,,,0.0,20.0,0.0,21.0,,,,,,
69,60.1875,42,,,,8,1,10,15,,,10,27,0,1,,,1,8,10,17,,,1,9,7,6,,,0.0,29.0,7.0,4.0,,,,,,
70,60.09375,42,,,,12,22,16,22,,,8,1,8,0,,,14,1,7,10,,,15,14,1,23,,,19.0,11.0,10.0,23.0,,,,,,
71,60.234375,42,,,,1,1,0,26,,,19,14,14,0,,,18,0,0,20,,,0,27,7,9,,,16.0,0.0,11.0,29.0,,,,,,
72,60.21875,42,,,,14,1,12,14,,,6,23,14,14,,,19,12,6,4,,,15,28,14,22,,,1.0,17.0,19.0,6.0,,,,,,
73,60.21875,42,,,,17,1,6,11,,,15,14,8,15,,,11,1,6,0,,,2,1,5,29,,,16.0,15.0,1.0,6.0,,,,,,
74,60.140625,42,,,,19,21,6,28,,,1,3,14,15,,,0,19,6,15,,,19,15,0,29,,,10.0,1.0,14.0,14.0,,,,,,
75,60.15625,42,,,,1,10,15,29,,,10,0,10,26,,,19,18,7,7,,,19,15,1,2,,,6.0,10.0,6.0,14.0,,,,,,
76,60.171875,42,,,,11,28,19,18,,,19,26,6,25,,,0,1,0,27,,,13,29,2,29,,,18.0,0.0,18.0,1.0,,,,,,
77,60.09375,42,,,,19,2,10,20,,,11,1,0,7,,,0,28,12,29,,,0,27,9,14,,,7.0,7.0,0.0,2.0,,,,,,
78,60.109375,42,,,,0,21,4,1,,,7,2,19,22,,,14,0,7,3,,,17,15,6,0,,,6.0,26.0,6.0,29.0,,,,,,
79,60.078125,42,,,,0,2,15,29,,,5,0,9,14,,,8,0,0,25,,,19,11,6,17,,,14.0,22.0,19.0,29.0,,,,,,
80,60.125,42,,,,0,10,17,28,,,19,2,0,9,,,12,28,0,24,,,3,29,12,1,,,15.0,29.0,19.0,29.0,,,,,,
81,60.109375,42,,,,0,5,0,20,,,12,1,12,22,,,1,1,19,6,,,11,22,18,28,,,10.0,28.0,0.0,6.0,,,,,,
82,60.09375,42,,,,1,26,15,28,,,1,25,16,29,,,7,1,1,15,,,1,2,0,3,,,18.0,14.0,19.0,9.0,,,,,,
83,60.140625,42,,,,4,0,1,5,,,11,29,0,11,,,19,9,17,1,,,0,8,10,24,,,0.0,1.0,19.0,25.0,,,,,,
84,60.09375,42,,,,16,22,1,26,,,19,21,0,13,,,1,24,12,14,,,3,29,19,22,,,18.0,1.0,19.0,13.0,,,,,,
85,60.1875,42,,,,0,27,17,28,,,15,22,7,0,,,18,0,0,9,,,13,1,7,2,,,17.0,1.0,1.0,16.0,,,,,,
86,60.140625,42,,,,0,26,14,28,,,0,28,9,15,,,13,1,11,0,,,7,13,0,19,,,9.0,1.0,18.0,1.0,,,,,,
87,60.203125,42,,,,7,0,1,14,,,1,5,0,3,,,17,0,2,29,,,14,15,0,22,,,0.0,12.0,13.0,22.0,,,,,,
88,60.171875,42,,,,8,1,0,12,,,19,25,0,16,,,14,29,10,27,,,10,26,0,1,,,7.0,14.0,0.0,9.0,,,,,,
89,60.109375,42,,,,1,20,1,9,,,19,3,6,12,,,7,3,0,21,,,13,22,15,22,,,6.0,22.0,1.0,12.0,,,,,,
90,60.15625,42,,,,6,14,16,0,,,19,25,1,28,,,10,21,11,1,,,7,3,19,0,,,9.0,14.0,10.0,17.0,,,,,,
91,60.234375,42,,,,7,0,5,0,,,1,3,6,23,,,1,26,10,18,,,19,17,13,14,,,9.0,1.0,1.0,28.0,,,,,,
92,60.15625,42,,,,11,22,7,3,,,6,29,7,14,,,19,16,13,0,,,1,6,6,20,,,1.0,3.0,19.0,10.0,,,,,,
93,60.140625,42,,,,7,6,19,18,,,0,29,3,0,,,0,27,0,21,,,19,23,5,0,,,1.0,0.0,10.0,26.0,,,,,,
94,60.078125,42,,,,6,25,19,23,,,16,0,6,22,,,10,25,1,5,,,6,19,6,21,,,11.0,1.0,17.0,29.0,,,,,,
95,60.140625,42,,,,1,19,19,11,,,19,18,0,8,,,10,20,4,29,,,10,23,6,23,,,6.0,0.0,7.0,7.0,,,,,,
96,60.203125,42,,,,7,6,6,8,,,1,3,10,15,,,1,21,10,21,,,0,21,13,14,,,10.0,17.0,9.0,15.0,,,,,,
97,60.15625,42,,,,11,22,1,26,,,10,20,16,1,,,11,28,6,6,,,10,27,9,15,,,6.0,0.0,1.0,15.0,,,,,,
98,60.15625,42,,,,6,26,19,21,,,8,15,7,15,,,10,29,16,29,,,8,14,14,15,,,6.0,10.0,10.0,1.0,,,,,,
99,60.203125,42,,,,19,3,14,14,,,0,29,8,1,,,19,11,2,1,,,18,1,16,22,,,7.0,13.0,1.0,26.0,,,,,,
100,60.25,42,,,,6,0,0,9,,,8,0,0,26,,,17,28,0,12,,,6,15,0,16,,,7.0,11.0,18.0,29.0,,,,,,
